variable,tramo,n,R_medio,wr,DEV_R,DEV_t,VAL1_R,VAL1_t,VAL2_R,VAL2_t
gap_vi_atr,Q2,2020,0.02121588430225547,0.35445544554455444,-0.02422806222967971,-0.3124590031323401,0.055663697720851994,0.8697751136363524,0.01925141581427303,0.46308869285268967
gap_vi_atr,Q3,2020,0.02270853573488617,0.3559405940594059,0.03194453253669043,0.8048858695688846,0.05052630183962237,0.6644878456692509,-0.03562718781488277,-0.4881325843816777
gap_vi_atr,Q4 alto,2020,0.0453129941079327,0.3589108910891089,0.045643368014304894,1.4148047198604912,0.14195557652375906,0.5034453570485955,-0.06287589421590611,-0.24470549299185296
rango_vela_atr,Q1 bajo,2020,-0.014863599529077518,0.345049504950495,-0.02714727128697897,-0.6169414643466206,0.023078216351805292,0.29314740956268076,-0.015021439851827868,-0.2744901715494906
rango_vela_atr,Q2,2020,0.01337066887861745,0.35198019801980196,0.07028278795042966,1.4760530182498686,-0.09692865728431825,-1.2403091183226806,-0.008255345843350815,-0.1642307879985622
rango_vela_atr,Q3,2020,0.06516138245398492,0.3693069306930693,0.05703973548088826,1.1880196974358401,0.26395066716943905,3.0501633072623884,0.004644181710172119,0.09467025506727669
rango_vela_atr,Q4 alto,2020,0.05775629921541836,0.36386138613861385,0.053149849781352836,1.0560658886762,0.02756532587676458,0.33887684536858,0.07245836744481962,1.4989599715838005
rango_dia_hasta_atr,Q1 bajo,2020,-0.03998809239322797,0.3346534653465347,-0.03191187108766538,-0.6552008726141739,0.04351310298390659,0.553744313111966,-0.08228216907274448,-1.6903508598946377
rango_dia_hasta_atr,Q2,2020,0.03678798445531345,0.3589108910891089,-0.021865668840882348,-0.47069258238275247,0.057106843421640865,0.7223464112836695,0.0986343743942749,1.8777669090515265
rango_dia_hasta_atr,Q3,2020,-0.009700608054176269,0.3435643564356436,0.00613568659363441,0.1328632759740371,-0.080472328987615,-0.9682570077717098,-0.0035381519386502667,-0.07077540814041651
rango_dia_hasta_atr,Q4 alto,2020,0.134325467011034,0.3930693069306931,0.18540273727010226,3.881083791427919,0.17198401253195364,2.0350191747522848,0.060511191644646974,1.1976035910862848
atr_rel,Q1 bajo,2004,0.05326631294886003,0.3647704590818363,0.06248990264870868,1.2752062604927978,0.003471543234778706,0.04767262273695894,0.06781921962721857,1.30086320842611
atr_rel,Q2,2003,0.03886792729559711,0.3599600599101348,-0.013489538770326328,-0.27712059624418,0.1258705931462623,1.524508562142821,0.05840801782759814,1.183535439396416
atr_rel,Q3,2003,0.026892801982199146,0.3574638042935597,0.06838301623021886,1.4329174871635075,-0.011363933727064873,-0.1280359801568686,-0.005819078043256264,-0.11981329642680166
atr_rel,Q4 alto,2004,-0.0003824338220090828,0.3473053892215569,0.019361553076348664,0.42235821450344996,0.08191703611761335,0.979306956429729,-0.06039111489468935,-1.1646456383433519
num_señal_dia,Q1 bajo,2020,0.01109386055251306,0.3475247524752475,0.01086794438044741,0.3278510018542543,0.013417389450685432,0.1253604442143091,,
num_señal_dia,Q2,2020,0.07077077800645462,0.3722772277227723,0.11927238104094726,1.7997194105134287,0.11173370082029645,1.3948489018224428,0.04086470368684082,0.9953940259038014
num_señal_dia,Q3,2020,0.05042091458958327,0.36633663366336633,0.04009413224230951,0.7382019227630752,0.029039951369375407,0.40083614999992195,0.06688379720274593,1.4296378391304656
num_señal_dia,Q4 alto,2020,-0.01086080212960775,0.34405940594059403,0.04157995258242266,0.7304250693810097,0.03473732750932453,0.4536904589929911,-0.05852453024390684,-1.3405669970996288
prev_R,-1.0623428723960298,1,-1.0381656840499145,0.0,-1.0381656840499145,,,,,
prev_R,-1.0209653812507462,1,1.9214370492990513,1.0,1.9214370492990513,,,,,
prev_R,-1.003909302177447,1,-1.0155645974309295,0.0,-1.0155645974309295,,,,,
prev_R,-1.0,3022,0.01629836895125193,0.35473196558570486,0.019609548269277573,0.48141745171701805,0.07838443150405806,1.1894287461766029,-0.009588482259867253,-0.24519698484478228
prev_R,0.0,3566,0.030519198338672393,0.3564217610768368,0.01086794438044741,0.3278510018542543,0.07702241929138051,1.2014461096524254,0.04086470368684082,0.9953940259038014
prev_R,2.0,1489,0.058646848921462734,0.36601746138347885,0.1510215317084549,2.494473747280261,-0.05524928598362109,-0.6345592945304689,0.022906279693353286,0.41320218182036317
ES_confirma,0.0,2366,0.008213471206583318,0.3503803888419273,-0.011884117007409727,-0.27285588667097466,0.05937019268824185,0.8325212350857734,0.008558712340566767,0.178009043512663
ES_confirma,1.0,5714,0.039524837974009304,0.36051802590129506,0.055634168686134924,1.9738643625723469,0.045525573948691604,0.9197408801032259,0.0193363858409423,0.6529189604531219
dow,0,1443,0.02043360625722481,0.35550935550935553,0.00949724274830007,0.17071346796352105,0.1840424481951424,1.9433474082676978,-0.037547219889292265,-0.6308138682019179
dow,1,1662,0.006395879169259127,0.35018050541516244,-0.023214152578584647,-0.4555257344976107,-0.015539632261515259,-0.16889443763068573,0.04890964792286716,0.8755763366181987
dow,2,1639,0.03673580060393236,0.35997559487492375,0.10606256234131174,1.9685590116830793,-0.05644419571053566,-0.632315366237989,-0.0032936776121979513,-0.06010377698747058
dow,3,1631,0.03169922360787982,0.35683629675045986,0.043913808958797415,0.8354117989378838,-0.014611469778694257,-0.1659987609526624,0.036619109947471855,0.6400312579467801
dow,4,1705,0.054692634108788336,0.36480938416422287,0.04367432270233448,0.8414262928191867,0.15094402957880476,1.6721620439967577,0.029476603447163945,0.5363276580435936
