hm,vol,volume,mean_r,n,vol_bp
420,0.00027559882586348226,165.6795523906409,-2.385769387929224e-07,983,2.7559882586348228
421,0.0002837859377312426,161.44557477110885,-1.624477792791916e-05,983,2.8378593773124257
422,0.0002854949635841642,158.0447609359105,1.2565283346809155e-05,983,2.854949635841642
423,0.0002569673343861808,151.13021363173957,-1.1145858106802653e-05,983,2.569673343861808
424,0.000265323513164677,148.2146490335707,2.933251550010991e-06,983,2.6532351316467704
425,0.00025989786331839934,155.73855544252288,-2.8506867154468415e-06,983,2.5989786331839935
426,0.0002804316203151804,146.60732451678535,5.738037399948082e-06,983,2.804316203151804
427,0.0002455059270250171,140.59511698880976,1.2924174513508657e-05,983,2.455059270250171
428,0.0002299275225469266,131.89928789420142,-8.697990174155373e-06,983,2.299275225469266
429,0.0002558223552359415,132.37538148524925,-7.86899685461547e-06,983,2.5582235523594155
430,0.0003250777348173519,173.49949135300102,2.8570673838850775e-05,983,3.2507773481735187
431,0.0002611499945984637,151.3092573753815,-6.397824114600875e-06,983,2.611499945984637
432,0.0002780061584788402,151.4201424211597,1.0144506961368437e-05,983,2.780061584788402
433,0.00025909092496301874,142.528992878942,-2.4085393315286595e-06,983,2.5909092496301875
434,0.00025146886895157175,140.2238046795524,-6.085288951282224e-06,983,2.5146886895157174
435,0.0002660279638032339,150.53713123092572,-1.1235783074795944e-05,983,2.660279638032339
436,0.0002473328936337414,137.55849440488302,5.556319527357873e-06,983,2.473328936337414
437,0.00025365960114993267,136.9938962360122,7.746911011860398e-07,983,2.5365960114993267
438,0.00024431507824426994,133.17700915564598,-7.723463526001296e-06,983,2.4431507824426992
439,0.0002423483904053075,130.36520854526958,-6.712733804049674e-06,983,2.423483904053075
440,0.0002439204606637832,140.07426246185148,-1.240937581606239e-06,983,2.439204606637832
441,0.0002505468857019658,132.83926754832146,-9.29029062910792e-06,983,2.505468857019658
442,0.0002471566385603571,130.33875890132248,-7.092180651081917e-07,983,2.471566385603571
443,0.0002284672810583119,122.94811800610377,-5.47632545488726e-06,983,2.284672810583119
444,0.0002388578447955296,122.12410986775178,2.4649019489580194e-06,983,2.388578447955296
445,0.0002701956650224665,140.4974567650051,-6.719873389103049e-06,983,2.701956650224665
446,0.00024336347077225844,127.4557477110885,-6.849346204924139e-06,983,2.433634707722584
447,0.00023658901697563771,125.42828077314344,-7.53047481068695e-07,983,2.3658901697563772
448,0.00024237981133809684,125.75381485249237,7.373613776917519e-06,983,2.4237981133809683
449,0.000223528665836881,119.99186164801628,-9.320632397815715e-06,983,2.23528665836881
450,0.0002558649176281547,132.76883910386965,6.960307236335111e-06,982,2.5586491762815466
451,0.00023587360670352398,124.77110885045778,-2.6581752922761357e-06,983,2.35873606703524
452,0.00024233491160854673,125.15971515768057,-6.032242307697643e-07,983,2.4233491160854674
453,0.00024422222703267596,121.68463886063073,-3.1100630404991996e-06,983,2.4422222703267598
454,0.0002275152021604502,116.20447609359105,-4.356673511781027e-07,983,2.275152021604502
455,0.00023758964696171035,125.52797558494404,2.1381898978829474e-06,983,2.3758964696171034
456,0.0002424844495845803,123.86876907426246,5.189297549176375e-06,983,2.424844495845803
457,0.00022998987180164617,123.0061037639878,-5.667976519065146e-06,983,2.2998987180164616
458,0.00022185060500268776,118.07324516785351,-1.1170556217839492e-06,983,2.2185060500268774
459,0.00022516670469435523,115.77517802644964,3.17297468695963e-06,983,2.2516670469435525
500,0.00028054361908142383,171.52695829094608,-2.435281808273799e-05,983,2.8054361908142385
501,0.00025646061209596486,141.80061037639877,2.306473156474962e-06,983,2.5646061209596485
502,0.0002474979057186364,137.75483214649034,2.461924681982506e-06,983,2.474979057186364
503,0.00024561396529194744,133.72126144455748,4.166195794176429e-06,983,2.4561396529194743
504,0.00024088680394901218,127.41302136317395,1.875696122058325e-06,983,2.408868039490122
505,0.0002492865411734303,133.48626653102747,6.140478863166389e-06,983,2.492865411734303
506,0.00024896169046108866,132.72838250254324,-5.4155347754499555e-06,983,2.4896169046108865
507,0.0002426446310475851,131.8179043743642,-1.626569658429922e-05,983,2.426446310475851
508,0.0002320751369748429,127.17599186164801,-4.853638425889226e-07,983,2.3207513697484288
509,0.00023208305207149716,121.61648016276703,-4.91376882191861e-06,983,2.3208305207149715
510,0.0002333781117534177,127.50864699898271,1.738544547965523e-06,983,2.333781117534177
511,0.00024352507650401105,124.76907426246186,2.365875061706651e-07,983,2.4352507650401103
512,0.00024332700401920735,121.06612410986776,2.6470093903658087e-06,983,2.4332700401920735
513,0.00022014990306700233,116.7385554425229,-4.062907612598728e-06,983,2.2014990306700235
514,0.00021277547121045397,117.55747711088505,4.176793748585587e-06,983,2.1277547121045397
515,0.00023989311290562726,136.92573753814852,-2.4708297494975865e-06,983,2.3989311290562725
516,0.00024319793361667527,125.61953204476093,3.1014440624814133e-06,983,2.4319793361667528
517,0.0002463226000806833,123.27772126144455,3.7592060950524433e-06,983,2.4632260008068334
518,0.00022985602615614777,117.07019328585962,-9.094460002720878e-07,983,2.2985602615614775
519,0.0002319876936021722,113.05798575788403,-4.80920053845861e-06,983,2.319876936021722
520,0.0002461786560660281,126.30824008138352,-3.950514277992966e-06,983,2.461786560660281
521,0.00023146335472595591,119.50356052899288,4.629150442843588e-06,983,2.314633547259559
522,0.00024009952932891538,121.41810783316379,-5.762784877714229e-06,983,2.400995293289154
523,0.0002396647393732218,117.13428280773144,-1.8152691988973923e-06,983,2.396647393732218
524,0.00023600770925440916,117.90030518819938,-1.2016767462277373e-06,983,2.3600770925440915
525,0.00023044164076913828,125.06205493387588,-1.2655215702130221e-06,983,2.3044164076913827
526,0.00022151234485881435,116.12410986775178,6.7442192702545245e-06,983,2.2151234485881433
