label,n,wr,exp_pts,avg_win,avg_loss,pf,total_pts,t,max_dd_pts,params,exp_A,wr_A,n_A,exp_B,wr_B,n_B,DEV_n,DEV_atr%,DEV_t,DEV_wr,DEV_costo%,VAL1_n,VAL1_atr%,VAL1_t,VAL1_wr,VAL1_costo%,VAL2_n,VAL2_atr%,VAL2_t,VAL2_wr,VAL2_costo%
ORB_go,3809,0.3410343922289315,0.175735101076398,42.91782140107775,-21.94457171314741,1.012152584722011,669.375,0.2523560609674366,1978.5,"{""K"": 15, ""stop_x_or"": 0.5, ""tgt_x_or"": 1.0, ""salida"": 1559}",-0.226,0.348,500,2.123989898989899,0.34545454545454546,495,2028,-0.18984885232333548,-0.3298015058965833,0.3343195266272189,2.0000732301642707,538,0.8907116082094517,0.7522708497432936,0.35315985130111527,0.6840747942954102,1243,0.5715820520092219,0.7873210622288741,0.3467417538213998,0.3342765082984488
ORB_go,3809,0.3310580204778157,1.5085652402205303,46.753766851704995,-20.883192700156986,1.107988808573516,5746.125,1.9421960580019004,1536.5,"{""K"": 15, ""stop_x_or"": 0.5, ""tgt_x_or"": 2.0, ""salida"": 1200}",1.784,0.352,500,3.1527777777777777,0.30707070707070705,495,2028,1.361889085503257,2.105870033031928,0.3254437869822485,2.0000732301642707,538,1.1286333842936036,0.881272119970022,0.33643122676579923,0.6840747942954102,1243,1.6541919168355792,2.0123475822389625,0.33789219629927597,0.3342765082984488
ORB_go,3809,0.26542399579942244,1.81494486741927,66.9606824925816,-21.72413330950679,1.1137324095724006,6913.125,2.0000048065544,1488.0,"{""K"": 15, ""stop_x_or"": 0.5, ""tgt_x_or"": 2.0, ""salida"": 1559}",6.1305,0.284,500,3.494949494949495,0.2545454545454545,495,2028,1.1884491822883838,1.5809510645455158,0.2608481262327416,2.0000732301642707,538,1.2053381234987552,0.8002829010832466,0.26765799256505574,0.6840747942954102,1243,2.1519948571288734,2.2421138852769147,0.2719227674979887,0.3342765082984488
ORB_go,3809,0.6319243896035704,-0.12335914938304017,21.39691524719568,-37.0700784593438,0.9909591176060302,-469.875,-0.1869603551109852,4081.625,"{""K"": 15, ""stop_x_or"": 1.0, ""tgt_x_or"": 0.5, ""salida"": 1200}",-2.88675,0.63,500,1.129040404040404,0.6484848484848484,495,2028,-0.48222803794792657,-0.9033857134493534,0.6208086785009862,2.0000732301642707,538,-0.4360748626200036,-0.4005005706502552,0.6319702602230484,0.6840747942954102,1243,0.5821467637683836,0.8756910365950645,0.6500402252614642,0.3342765082984488
ORB_go,3809,0.646363875032817,-0.30201496455762666,22.208417952883835,-41.44580549368968,0.9793941158031436,-1150.375,-0.43636891626068147,4304.0,"{""K"": 15, ""stop_x_or"": 1.0, ""tgt_x_or"": 0.5, ""salida"": 1559}",-2.84825,0.648,500,0.2946969696969697,0.6585858585858586,495,2028,-0.8781304541925151,-1.5100092333693336,0.6341222879684418,2.0000732301642707,538,-0.6810339048972989,-0.5749918083075714,0.6486988847583643,0.6840747942954102,1243,0.5513046674447193,0.7845156648623407,0.66532582461786,0.3342765082984488
ORB_go,3809,0.5124704646888947,1.21160409556314,35.44441598360656,-34.772482498653744,1.0714700530411554,4615.0,1.4488819608526182,1846.0,"{""K"": 15, ""stop_x_or"": 1.0, ""tgt_x_or"": 1.0, ""salida"": 1200}",2.4175,0.542,500,3.352020202020202,0.5353535353535354,495,2028,-0.27637728455535093,-0.40859701253561914,0.4916173570019724,2.0000732301642707,538,1.1661667201764874,0.8469712185520843,0.5223048327137546,0.6840747942954102,1243,2.0681024523719573,2.424173971356407,0.5422365245374094,0.3342765082984488
ORB_go,3809,0.4980309792596482,0.6674323969545812,41.55653663679494,-39.90088912133891,1.0333232840261894,2542.25,0.7136115362353899,4327.25,"{""K"": 15, ""stop_x_or"": 1.0, ""tgt_x_or"": 1.0, ""salida"": 1559}",2.0555,0.53,500,4.224747474747475,0.5292929292929293,495,2028,-1.5873637934695701,-2.0657177402499016,0.47435897435897434,2.0000732301642707,538,0.26621421653161503,0.17080456935851088,0.5037174721189591,0.6840747942954102,1243,2.239817905298871,2.3531951214115856,0.5341914722445696,0.3342765082984488
ORB_go,3809,0.46547650301916516,2.0674717773693883,43.098279751833054,-33.663187622789785,1.1148993445265964,7875.0,2.1552681874696034,1702.25,"{""K"": 15, ""stop_x_or"": 1.0, ""tgt_x_or"": 2.0, ""salida"": 1200}",4.396,0.504,500,4.163636363636364,0.47474747474747475,495,2028,0.7368772354926691,0.9378760327073675,0.4457593688362919,2.0000732301642707,538,0.7599451569944063,0.488800014932757,0.4646840148698885,0.6840747942954102,1243,3.0161577700499507,3.0496110967203918,0.49798873692679,0.3342765082984488
ORB_go,3809,0.40850616959831976,2.656208978734576,62.80526992287918,-38.88482023968042,1.11548668778358,10117.5,2.2322340856594276,2496.5,"{""K"": 15, ""stop_x_or"": 1.0, ""tgt_x_or"": 2.0, ""salida"": 1559}",8.0285,0.444,500,4.893939393939394,0.4101010101010101,495,2028,-0.028341792567538427,-0.029592132003454927,0.391025641025641,2.0000732301642707,538,0.47605222755714155,0.2471315566556922,0.4070631970260223,0.6840747942954102,1243,4.138942814906575,3.387772228070302,0.43765084473049076,0.3342765082984488
ORB_fade,3809,0.5017064846416383,0.04253084799159885,21.637820512820515,-21.700671759747102,1.0039331963593654,162.0,0.08615794059201229,2401.875,"{""K"": 15, ""stop_x_or"": 0.5, ""tgt_x_or"": 0.5, ""salida"": 1200}",3.212,0.52,500,-0.6204545454545455,0.498989898989899,495,2028,-0.12865125203716318,-0.3181840418500711,0.5044378698224852,2.0000732301642707,538,0.06740397296156518,0.08178225422866188,0.49814126394052044,0.6840747942954102,1243,-0.07575809192191574,-0.14866411556880718,0.498793242156074,0.3342765082984488
