d,gap,atr,g_atr,t_fill,t_onh,t_onl,t_pdh,t_pdl,open_in_on,open_in_pd,r_first30,r_1000_1530,r_last30,r_1530,r_rest,year
59,-28.25,157.375,-0.17950754567116758,1254.0,1256.0,,1258.0,,True,True,0.0012131419143570489,0.0033240627492862793,0.00010820754217117333,0.002492010607586799,0.003432270291457707,2021
60,76.25,152.78571428571428,0.4990649836372137,1016.0,939.0,1037.0,930.0,,True,False,-0.0028197617397434133,-0.0014578967475746651,-0.0007387587387892513,0.0012075228328323458,-0.0021966554863638607,2021
61,62.0,151.55357142857142,0.4090962648756923,1310.0,930.0,,,,True,True,8.972069952271185e-05,-0.003667156134687516,-0.00039628215807886865,0.000882843172516604,-0.004063438292766315,2021
62,15.25,138.85714285714286,0.10982510288065843,932.0,934.0,,939.0,,True,True,0.008083712679050841,0.00017850130353341308,0.0009633568376254763,0.009360610614160617,0.0011418581411587886,2021
63,0.25,132.57142857142858,0.0018857758620689654,930.0,,930.0,932.0,,True,True,0.0006238914987707009,7.127710760517541e-05,0.0017624914435085599,0.0007129997984806194,0.0018337685511137945,2021
64,20.25,124.76785714285714,0.16230141691713182,930.0,1086.0,930.0,930.0,,True,False,0.0009764152137849444,0.0032773265115701184,0.003953899913896577,0.005693473224214632,0.007231226425466798,2021
66,23.0,122.58928571428571,0.18761835396941007,1076.0,930.0,1086.0,,1091.0,True,True,0.0020695335018254156,-0.0060792615645744496,-0.001280819899722391,-0.0023793892291847883,-0.007360081464296913,2021
67,-41.5,136.64285714285714,-0.30371144798745425,933.0,930.0,,987.0,,True,True,0.0064421058127834005,0.011341409675889053,-0.0020541278499178737,0.014824247797396044,0.009287281825971112,2021
68,-75.75,150.23214285714286,-0.5042196600499227,,,932.0,,,True,True,0.0011301631109873458,-0.0013775566446752588,-0.0024950245192739777,-0.005586754395141766,-0.0038725811639492794,2021
69,10.25,153.08928571428572,0.06695439169485594,931.0,1026.0,935.0,1026.0,932.0,True,True,0.0003717241849384282,0.003762557322118846,0.0012510463725875882,0.004860427210870507,0.005013603694706411,2021
70,-8.25,153.42857142857142,-0.0537709497206704,930.0,991.0,,933.0,,True,True,0.0015845073737672986,0.009245543804272055,-0.001168479104686455,0.010248773584014414,0.008077064699585529,2021
71,0.25,157.875,0.001583531274742676,930.0,960.0,1119.0,931.0,,True,True,0.003309992221015672,-0.000939620740786409,-0.0020214348610250285,0.0023878215077134265,-0.0029610556018113744,2021
72,86.75,153.35714285714286,0.5656730321378668,,931.0,,930.0,,True,False,0.0018535365403678204,-0.002183028691897551,0.0006415424981842867,0.00570525629573553,-0.001541486193713406,2021
73,25.25,147.39285714285714,0.1713108795735401,952.0,,957.0,,961.0,True,True,-0.002650889946497372,3.4697524335020663e-05,-0.00020820320708149227,-0.0008670470656072722,-0.00017350568274631411,2021
74,55.25,146.05357142857142,0.3782858540163834,,930.0,,930.0,,True,False,0.003933413162476878,0.004089493310623888,5.144165231718383e-05,0.011850380599510527,0.004140934962941109,2021
75,-5.5,142.73214285714286,-0.03853371700237708,937.0,937.0,,938.0,,True,True,0.0005487533148646247,0.002876024853652356,0.0005639627934041268,0.003047477918795843,0.003439987647056552,2021
76,-5.25,142.76785714285714,-0.03677298311444653,930.0,,935.0,930.0,,True,True,-0.0016078548868636879,0.001300167836351601,-0.0007354136177728247,-0.0006665356629701484,0.0005647542185787751,2021
77,-15.75,135.98214285714286,-0.11582403151674327,932.0,,1031.0,,930.0,True,True,0.0011981994210097891,-0.0006845095756356243,0.0008555637831308381,-0.0005647542185787793,0.00017105420749532647,2021
78,81.25,138.41071428571428,0.5870210295445749,,936.0,,930.0,,True,False,0.0016315712587942027,0.003593650571305252,0.0005920513058514953,0.010768615098714334,0.004185701877156662,2021
