sym,tf,k,n,p_relleno,nulo,exceso,dist_media,neto_pts,wr_neto,DEV_exceso,DEV_neto_atr%,VAL1_exceso,VAL1_neto_atr%,VAL2_exceso,VAL2_neto_atr%
ES,5,1.0,25131,0.4820739325932116,0.5,-0.017926067406788426,2.284051569774382,-0.6355732442003899,0.4151048505829454,-0.0006307291228660472,-3.6557710402075756,-0.009707410445720543,-1.9354363174679565,-0.042523218198893875,-1.3364571596013377
ES,5,2.0,25131,0.667223747562771,0.6666666666666666,0.0005570808961044005,2.284051569774382,-0.6039290597270304,0.5623333731248259,0.013007036133770633,-3.4570632711335127,0.017774131802023585,-1.644790658459106,-0.021461616056210664,-1.2911940375941946
ES,5,4.0,25131,0.790458000079583,0.8,-0.009541999920417044,2.284051569774382,-0.5827002984361944,0.6591062830766782,-0.0031788747792448335,-3.1884118319070667,0.009680065627563517,-1.4640970186030704,-0.02477303558384647,-1.3776467266444186
ES,15,0.5,9787,0.29620925717788904,0.3333333333333333,-0.037124076155444274,3.4760907326044754,-0.7486167773577195,0.28466332890569124,-0.03470608940513903,-4.342725984427651,-0.030593607305936077,-2.354808820601629,-0.0429658500371195,-1.5713774651846262
ES,15,1.0,9787,0.46909165219168286,0.5,-0.030908347808317138,3.4760907326044754,-0.6650109737406764,0.44119750689690407,-0.022280887011615624,-4.105950807862154,-0.010273972602739712,-2.0418723819090365,-0.05066815144766146,-1.4347524116338894
ES,15,2.0,9787,0.6334934096250128,0.6666666666666666,-0.03317325704165386,3.4760907326044754,-0.6271290896086645,0.5850618166956166,-0.02548398451249556,-3.629097452637928,-0.00981735159817343,-2.0925694758501514,-0.05280252412769115,-1.495116313711171
ES,15,4.0,9787,0.7282108919995913,0.8,-0.07178910800040872,3.4760907326044754,-0.6752541534688875,0.6659854909573925,-0.0722280887011616,-3.735670951526096,-0.050684931506849384,-2.0817243909427496,-0.0797884187082406,-1.6318027631597274
YM,1,0.5,185593,0.28879321957185883,0.3333333333333333,-0.04454011376147449,8.99950967978318,-3.4358549945310446,0.2208973398781204,-0.020394356166822447,-2.241978697028331,-0.056213760672054025,-1.183700996279841,-0.06254473470022126,-0.921987487052792
YM,1,1.0,185593,0.4397148599354502,0.5,-0.060285140064549825,8.99950967978318,-3.6483549271793665,0.33471089965677586,-0.029242889571371333,-2.3011858228355746,-0.07351732639364472,-1.2397779477421327,-0.08406851617811262,-1.000306774159043
YM,1,2.0,185593,0.6288006551971249,0.6666666666666666,-0.037866011469541716,8.99950967978318,-3.486166698097451,0.46611132962988905,-0.005697244847999272,-2.172853524137984,-0.04510797607633654,-1.1639934119189566,-0.06483106132181582,-0.9793452111786619
YM,1,4.0,185593,0.7833808387169775,0.8,-0.016619161283022543,8.99950967978318,-3.2644072567392093,0.5681572042049,0.004927226599011791,-2.050867112810512,-0.019113820024654227,-1.1061937517472402,-0.03552436226211364,-0.9270460406298747
YM,5,0.5,39620,0.30040383644623925,0.3333333333333333,-0.03292949688709407,17.29967188288743,-3.5362251388187795,0.26857647652700656,-0.022028382723894235,-2.4121739674261113,-0.024149659863945572,-1.04927709394677,-0.04755817964169051,-1.0008638198654602
YM,5,1.0,39620,0.46135790005047955,0.5,-0.03864209994952045,17.29967188288743,-3.460505805148915,0.4125946491670873,-0.02694818323609266,-2.441580832647728,-0.026020408163265285,-0.9061222217059788,-0.05548116136100795,-1.0160456165558753
YM,5,2.0,39620,0.6362190812720848,0.6666666666666666,-0.03044758539458181,17.29967188288743,-3.5072498738011104,0.5604745078243312,-0.013729228043825703,-2.2974479922681335,-0.02687074829931968,-1.0594389596950753,-0.04934364031083238,-1.0527594179328148
YM,5,4.0,39620,0.7664563351842504,0.8,-0.03354366481574966,17.29967188288743,-3.5974063604240274,0.6658505805148914,-0.026561146092080268,-2.39689267349436,-0.02874149659863945,-1.0615632502245638,-0.042619757745450126,-1.0370657375668728
