sym,tend_estricta,tp,ema_exit,entrada,modo,trades,por_dia,p_tp_5min,wr_neto,gan_media,perd_media,peor,pf,exp_pts,exp_usd,exp_bruto,DEV_exp_usd,DEV_wr,DEV_ptp,DEV_t,VAL1_exp_usd,VAL1_wr,VAL1_ptp,VAL1_t,VAL2_exp_usd,VAL2_wr,VAL2_ptp,VAL2_t
NQ,True,borde,EMA50,open sig.,VI usuario,10749,2.8021376433785194,0.755698204484138,0.5877756070332124,3.779663817663818,-6.920983525163619,-521.288,0.7786875468706012,-0.6314040375848916,-12.628080751697832,-0.032328588705926135,-12.970369350768532,0.42463867859600823,0.7327368662537279,-13.216820896537671,-4.249855072463768,0.662608695652174,0.784927536231884,-1.0537283074841628,-15.40630225080385,0.712540192926045,0.7663451232583065,-3.322897443959765
NQ,True,borde,EMA50,open sig.,NULO (sin VI),22099,5.760948905109489,0.7143309652020453,0.6569980542105978,1.6970378496855631,-5.566985681346052,-110.538,0.583900603335535,-0.7945363557182852,-15.890727114365703,-0.18511909701879634,-15.935452647714499,0.5768281938325991,0.6031718061674008,-28.727100339366853,-19.492106105723966,0.7258626147515036,0.7834757834757835,-7.713827997898091,-14.324931193784726,0.7482213438735178,0.8517786561264822,-6.163157270065676
NQ,True,borde,ambas,cierre,VI usuario,10749,2.8021376433785194,0.755698204484138,0.5887989580426086,3.787841365144573,-6.9164502262443435,-524.788,0.7841900956830903,-0.613774490650293,-12.27548981300586,-0.014699041771327566,-12.60101858224364,0.42188575361321407,0.7327368662537279,-12.844832988395536,-3.8846376811594197,0.6660869565217391,0.784927536231884,-0.9603486911963991,-15.074040728831719,0.7161843515541265,0.7663451232583065,-3.2418619669180098
NQ,True,borde,ambas,cierre,NULO (sin VI),22099,5.760948905109489,0.7143309652020453,0.7109823973935472,1.56410018701977,-6.562134188738532,-110.538,0.5863460654172675,-0.7845245904800392,-15.690491809600784,-0.17510733178055027,-15.835452647714499,0.6056387665198237,0.6031718061674008,-28.453197579552103,-19.21828527634758,0.7736625514403292,0.7834757834757835,-7.584191891769584,-14.005431852546256,0.8424242424242424,0.8517786561264822,-6.0163514310688315
NQ,True,borde,ambas,open sig.,VI usuario,10749,2.8021376433785194,0.755698204484138,0.5877756070332124,3.779663817663818,-6.920983525163619,-521.288,0.7786875468706012,-0.6314040375848916,-12.628080751697832,-0.032328588705926135,-12.970369350768532,0.42463867859600823,0.7327368662537279,-13.216820896537671,-4.249855072463768,0.662608695652174,0.784927536231884,-1.0537283074841628,-15.40630225080385,0.712540192926045,0.7663451232583065,-3.322897443959765
NQ,True,borde,ambas,open sig.,NULO (sin VI),22099,5.760948905109489,0.7143309652020453,0.6569980542105978,1.6970378496855631,-5.566985681346052,-110.538,0.583900603335535,-0.7945363557182852,-15.890727114365703,-0.18511909701879634,-15.935452647714499,0.5768281938325991,0.6031718061674008,-28.727100339366853,-19.492106105723966,0.7258626147515036,0.7834757834757835,-7.713827997898091,-14.324931193784726,0.7482213438735178,0.8517786561264822,-6.163157270065676
NQ,True,relleno,EMA20,cierre,VI usuario,12047,3.1405109489051095,0.6955258570598489,0.5402174815306715,3.607666871542717,-5.637611843293013,-284.038,0.7518781023899653,-0.6431506599153317,-12.863013198306634,-0.02903212418029385,-13.470412351722844,0.3954057616268123,0.6639051026172096,-18.195858187758507,-8.03075420510038,0.6125881714595768,0.7200217037438958,-2.3672883332209063,-14.023846311056609,0.6701410177805027,0.7206212957285919,-3.9015827366957354
NQ,True,relleno,EMA20,cierre,NULO (sin VI),22369,5.83133472367049,0.692252671107336,0.6854575528633376,1.5151458348369145,-5.84579284624316,-284.038,0.5648229304392922,-0.8001818311329282,-16.003636622658565,-0.18524499890976212,-15.94877277919069,0.5807151536191634,0.5811491060579761,-32.35558942796186,-18.764217519654615,0.7507827175954915,0.7639323731997495,-7.471315849477793,-14.934101253447984,0.815889193780217,0.829609303541095,-6.76551093996658
NQ,True,relleno,EMA20,open sig.,VI usuario,12047,3.1405109489051095,0.6955258570598489,0.5352369884618577,3.622049627791564,-5.591313091623504,-280.538,0.7460280315170098,-0.6599805760770318,-13.199611521540636,-0.04586204034199386,-13.814038787422335,0.39145170401054413,0.6639051026172096,-18.68797839031628,-8.388865979381443,0.6136733586543679,0.7200217037438958,-2.4855794408322125,-14.344712855099118,0.6617617003883098,0.7206212957285919,-4.001364870716705
NQ,True,relleno,EMA20,open sig.,NULO (sin VI),22369,5.83133472367049,0.692252671107336,0.6298001698779561,1.6536977308914433,-5.005320735830349,-280.538,0.5620704803242867,-0.8114697742685175,-16.22939548537035,-0.19653294204535154,-16.074618986446374,0.5494705780246485,0.5811491060579761,-32.68600258378365,-18.947373436999637,0.6972448340638697,0.7639323731997495,-7.554311778044491,-15.328064405153196,0.722592447406246,0.829609303541095,-6.974608622854005
