label,n,wr,exp_pts,avg_win,avg_loss,pf,total_pts,t,max_dd_pts,params,exp_A,wr_A,n_A,exp_B,wr_B,n_B,DEV_n,DEV_atr%,DEV_t,DEV_wr,DEV_costo%,VAL1_n,VAL1_atr%,VAL1_t,VAL1_wr,VAL1_costo%,VAL2_n,VAL2_atr%,VAL2_t,VAL2_wr,VAL2_costo%,fam,wr_bruto,wr_nulo,exceso_wr,p_binom,gap_atr,stop_x_gap,tgt_x_gap,salida,modo,nivel,dist_atr,stop_atr,tgt_atr,cancel
F1_gap_go,706,0.48725212464589235,-5.415722379603399,50.47311046511628,-58.52555248618785,0.8195291757625819,-3823.5,-1.7086016123509387,4046.75,"{""gap_atr"": ""0.6-3"", ""stop_x_gap"": 1.0, ""tgt_x_gap"": 1.0, ""salida"": 1100, ""modo"": ""go""}",9.557471264367816,0.5862068965517241,87,0.3402061855670103,0.5360824742268041,97,336,-2.4016948921401533,-0.9225775338026337,0.4791666666666667,2.026798253291142,130,-2.583275399621192,-0.5759477422068479,0.49230769230769234,0.703265478899579,240,-4.410269711596638,-1.4045648145154432,0.49583333333333335,0.336551964933659,F1_gap_go,0.48725212464589235,0.5,-0.012747875354107652,0.5223295008619622,0.6-3,1.0,1.0,1100.0,go,,,,,
F1_gap_fade,706,0.4985835694050991,4.804178470254958,85.6122159090909,-75.54731638418079,1.126824024304744,3391.75,1.0739656535028845,4233.0,"{""gap_atr"": ""0.6-3"", ""stop_x_gap"": 1.0, ""tgt_x_gap"": 1.0, ""salida"": 1559, ""modo"": ""fade""}",-14.344827586206897,0.4367816091954023,87,3.1469072164948453,0.4948453608247423,97,336,1.9294684005510914,0.5251358140352417,0.5029761904761905,2.026798253291142,130,-4.471289268734302,-0.7271349051272912,0.4307692307692308,0.703265478899579,240,7.597792481278333,1.7373303406393297,0.5291666666666667,0.336551964933659,F1_gap_fade,0.4985835694050991,0.5,-0.0014164305949008749,0.9699818499598648,0.6-3,1.0,1.0,1559.0,fade,,,,,
F1_gap_go,706,0.4985835694050991,-4.804178470254958,75.9765625,-85.12853107344633,0.8874500174213137,-3391.75,-1.0739656535028845,6174.25,"{""gap_atr"": ""0.6-3"", ""stop_x_gap"": 1.0, ""tgt_x_gap"": 1.0, ""salida"": 1559, ""modo"": ""go""}",14.344827586206897,0.5632183908045977,87,-3.1469072164948453,0.4948453608247423,97,336,-1.9294684005510914,-0.5251358140352417,0.49404761904761907,2.026798253291142,130,4.471289268734302,0.7271349051272912,0.5692307692307692,0.703265478899579,240,-7.597792481278333,-1.7373303406393297,0.4666666666666667,0.336551964933659,F1_gap_go,0.4985835694050991,0.5,-0.0014164305949008749,0.9699818499598648,0.6-3,1.0,1.0,1559.0,go,,,,,
F1_gap_fade,706,0.5368271954674221,1.405984419263456,47.65732189973615,-52.20030581039755,1.0581519669586104,992.625,0.5044688140412008,2244.875,"{""gap_atr"": ""0.6-3"", ""stop_x_gap"": 2.0, ""tgt_x_gap"": 0.5, ""salida"": 1100, ""modo"": ""fade""}",-10.336206896551724,0.45977011494252873,87,-8.217783505154639,0.4639175257731959,97,336,-0.02865428944020702,-0.011429773014748143,0.5446428571428571,2.026798253291142,130,2.3345147542183833,0.5648533520596105,0.5692307692307692,0.703265478899579,240,-0.0005380980737861307,-0.0001946880966924636,0.5083333333333333,0.336551964933659,F1_gap_fade,0.5368271954674221,0.8,-0.26317280453257796,1.1095659973048171e-55,0.6-3,2.0,0.5,1100.0,fade,,,,,
F1_gap_go,706,0.5311614730878187,-5.674043909348442,44.687666666666665,-62.73036253776435,0.8070736259105412,-4005.875,-1.6813155378952027,4318.625,"{""gap_atr"": ""0.6-3"", ""stop_x_gap"": 2.0, ""tgt_x_gap"": 0.5, ""salida"": 1100, ""modo"": ""go""}",10.889367816091953,0.632183908045977,87,-0.8118556701030928,0.5876288659793815,97,336,-4.623618248436023,-1.8854475474043917,0.5148809523809523,2.026798253291142,130,-1.8443414401817846,-0.4510333410320279,0.5461538461538461,0.703265478899579,240,-3.849197814068227,-1.2128132309058626,0.5458333333333333,0.336551964933659,F1_gap_go,0.5311614730878187,0.8,-0.26883852691218135,8.75133667465067e-58,0.6-3,2.0,0.5,1100.0,go,,,,,
F1_gap_fade,706,0.613314447592068,0.39624645892351273,55.99076212471132,-87.78113553113553,1.011673638857882,279.75,0.10479168537699594,4365.625,"{""gap_atr"": ""0.6-3"", ""stop_x_gap"": 2.0, ""tgt_x_gap"": 0.5, ""salida"": 1559, ""modo"": ""fade""}",-23.698275862068964,0.5402298850574713,87,-10.35180412371134,0.5876288659793815,97,336,0.17920509609351634,0.05175467019453535,0.625,2.026798253291142,130,-0.6219241084018252,-0.11318304907572121,0.5923076923076923,0.703265478899579,240,-0.6044606715143492,-0.16295266103926356,0.6083333333333333,0.336551964933659,F1_gap_fade,0.613314447592068,0.8,-0.18668555240793205,4.088024427110489e-30,0.6-3,2.0,0.5,1559.0,fade,,,,,
F1_gap_go,706,0.6062322946175638,-9.500177053824363,52.214077102803735,-104.51348920863309,0.7691556458066237,-6707.125,-1.9961714597702949,7579.25,"{""gap_atr"": ""0.6-3"", ""stop_x_gap"": 2.0, ""tgt_x_gap"": 0.5, ""salida"": 1559, ""modo"": ""go""}",0.47988505747126436,0.6666666666666666,87,-11.943298969072165,0.6082474226804123,97,336,-5.2852763164079715,-1.5178794375886995,0.6011904761904762,2.026798253291142,130,1.0310871575605478,0.19444602855391163,0.676923076923077,0.703265478899579,240,-10.565356068746658,-2.337459235291192,0.575,0.336551964933659,F1_gap_go,0.6062322946175638,0.8,-0.19376770538243626,3.566639156239914e-32,0.6-3,2.0,0.5,1559.0,go,,,,,
F1_gap_fade,706,0.5141643059490085,5.547096317280453,58.66804407713499,-50.67128279883382,1.2253275988550223,3916.25,1.741706437725508,1509.0,"{""gap_atr"": ""0.6-3"", ""stop_x_gap"": 2.0, ""tgt_x_gap"": 1.0, ""salida"": 1100, ""modo"": ""fade""}",-5.795977011494253,0.42528735632183906,87,-1.0283505154639174,0.4639175257731959,97,336,1.335630307085157,0.48640839376758277,0.5208333333333334,2.026798253291142,130,3.56529712888416,0.7794695871159343,0.5230769230769231,0.703265478899579,240,4.2163382661152,1.3248899854379905,0.5,0.336551964933659,F1_gap_fade,0.5141643059490085,0.6666666666666666,-0.1525023607176581,7.570822353619698e-17,0.6-3,2.0,1.0,1100.0,fade,,,,,
F1_gap_go,706,0.49008498583569404,-6.620750708215297,50.23988439306358,-61.27013888888889,0.788085550102574,-4674.25,-1.8555222154427458,4913.0,"{""gap_atr"": ""0.6-3"", ""stop_x_gap"": 2.0, ""tgt_x_gap"": 1.0, ""salida"": 1100, ""modo"": ""go""}",13.824712643678161,0.5862068965517241,87,-2.443298969072165,0.5360824742268041,97,336,-2.959138577610377,-1.0876042822784524,0.48214285714285715,2.026798253291142,130,-1.805562338149356,-0.4026515960549124,0.5,0.703265478899579,240,-5.184981583891835,-1.5291687222336852,0.49583333333333335,0.336551964933659,F1_gap_go,0.49008498583569404,0.6666666666666666,-0.1765816808309726,4.836206920401821e-22,0.6-3,2.0,1.0,1100.0,go,,,,,
F1_gap_fade,706,0.5155807365439093,5.932011331444759,86.36401098901099,-79.67397660818713,1.1536965337541516,4188.0,1.27499490179258,2823.5,"{""gap_atr"": ""0.6-3"", ""stop_x_gap"": 2.0, ""tgt_x_gap"": 1.0, ""salida"": 1559, ""modo"": ""fade""}",-6.646551724137931,0.47126436781609193,87,-0.44329896907216493,0.5051546391752577,97,336,-0.5670816950081626,-0.13735501539159192,0.5178571428571429,2.026798253291142,130,-1.0012763128188908,-0.15046289602263913,0.46923076923076923,0.703265478899579,240,7.68326080703315,1.6962056732133102,0.5375,0.336551964933659,F1_gap_fade,0.5155807365439093,0.6666666666666666,-0.15108593012275728,1.508189087938581e-16,0.6-3,2.0,1.0,1559.0,fade,,,,,
