entry_date,exit_date,dias,pnl,mae
2013-09-30,2013-10-01,1,31.962,-0.25
2013-10-03,2013-10-10,5,-6.288,-96.25
2013-10-31,2013-11-07,5,-57.038,-59.0
2013-11-19,2013-11-21,2,24.462,-18.5
2013-12-11,2013-12-16,3,18.462,-20.25
2013-12-30,2013-12-31,1,21.962,5.75
2014-01-03,2014-01-07,2,17.462,-26.75
2014-01-24,2014-01-30,4,-11.288,-80.5
2014-02-26,2014-03-04,4,40.212,-39.75
2014-03-07,2014-03-14,5,-78.038,-77.75
2014-03-24,2014-03-31,5,-24.538,-74.75
2014-06-03,2014-06-04,1,12.212,-15.75
2014-06-16,2014-06-18,2,22.212,-17.5
2014-07-25,2014-08-01,5,-85.288,-110.25
2014-08-06,2014-08-11,3,37.712,-26.75
2014-09-04,2014-09-08,2,27.462,-14.5
2014-09-12,2014-09-18,4,44.212,-46.75
2014-09-22,2014-10-02,5,-76.538,-125.75
2014-12-15,2014-12-18,3,106.212,-70.25
2014-12-30,2015-01-08,5,-46.288,-197.75
2015-03-04,2015-03-11,5,-139.788,-140.0
2015-03-24,2015-03-30,4,-52.288,-153.75
2015-04-14,2015-04-15,1,25.962,6.25
2015-04-28,2015-05-04,4,-36.288,-123.25
2015-05-12,2015-05-14,2,72.212,1.5
2015-05-26,2015-05-27,1,72.212,4.25
2015-05-29,2015-06-05,5,-32.038,-59.75
2015-06-25,2015-07-01,4,-87.288,-138.25
2015-07-22,2015-07-28,4,-64.288,-118.5
2015-08-03,2015-08-05,2,24.212,-29.0
2015-08-07,2015-08-10,1,50.462,28.5
2015-08-19,2015-08-26,5,-296.038,-602.5
2015-10-14,2015-10-15,1,69.962,9.75
2015-10-21,2015-10-22,1,88.212,25.75
2015-10-30,2015-11-02,1,52.462,2.75
2015-11-10,2015-11-17,5,-74.538,-155.25
2015-11-24,2015-12-01,3,43.712,-17.0
2015-12-03,2015-12-04,1,105.962,2.75
2016-03-08,2016-03-11,3,95.712,-34.0
2016-04-05,2016-04-06,1,71.962,3.75
2016-04-08,2016-04-13,3,78.212,-41.0
2016-04-25,2016-05-02,5,-95.288,-169.75
2016-06-10,2016-06-17,5,-72.038,-83.25
2016-08-25,2016-09-01,5,5.212,-28.0
2016-09-19,2016-09-21,2,55.212,0.5
2016-09-26,2016-09-27,1,47.462,-7.0
2016-10-04,2016-10-10,4,33.712,-21.0
2016-10-12,2016-10-18,4,17.462,-60.75
2016-10-20,2016-10-21,1,16.962,-12.75
2016-10-26,2016-11-02,5,-134.538,-144.25
2016-12-22,2016-12-27,2,28.962,-13.25
2016-12-29,2017-01-04,3,16.962,-66.0
2017-01-31,2017-02-01,1,32.212,9.75
2017-03-07,2017-03-10,3,34.212,-15.25
2017-03-17,2017-03-24,5,-41.538,-80.0
2017-04-03,2017-04-10,5,-11.288,-33.0
2017-04-12,2017-04-20,5,64.462,-22.75
2017-06-06,2017-06-08,2,26.462,-12.0
2017-06-12,2017-06-13,1,43.712,0.75
2017-06-15,2017-06-19,2,66.962,-47.5
2017-07-28,2017-08-02,3,2.7119999999999997,-52.0
2017-08-09,2017-08-14,3,-10.038,-133.75
2017-08-24,2017-08-29,3,27.712,-50.75
2017-09-05,2017-09-12,5,25.712,-26.5
2017-10-19,2017-10-20,1,13.962,8.75
2017-10-26,2017-10-27,1,173.712,89.75
2017-11-02,2017-11-03,1,58.212,1.25
2017-11-10,2017-11-13,1,6.712,-24.0
2017-11-15,2017-11-16,1,79.962,31.5
2017-11-20,2017-11-21,1,67.212,26.75
2017-12-04,2017-12-07,3,52.212,-27.5
2017-12-20,2017-12-28,5,-41.788,-58.25
2018-01-25,2018-01-26,1,102.462,25.25
2018-01-30,2018-02-06,5,-275.788,-567.5
2018-02-28,2018-03-05,3,22.712,-215.25
2018-03-13,2018-03-20,5,-166.288,-250.0
2018-05-18,2018-05-21,1,37.712,8.0
2018-06-08,2018-06-11,1,21.962,-0.25
2018-06-18,2018-06-20,2,31.212,-116.5
2018-06-22,2018-06-29,5,-152.538,-247.5
2018-07-19,2018-07-24,3,48.712,-55.25
2018-07-27,2018-08-02,4,74.212,-138.25
2018-08-10,2018-08-17,5,-30.038,-101.5
