sym,stop,objetivo,trail_EMA20,trades,por_dia,wr,gan_media_usd,perd_media_usd,pf,exp_usd,exp_R,t,DEV_usd,DEV_t,DEV_bruto_t,VAL1_usd,VAL1_t,VAL1_bruto_t,VAL2_usd,VAL2_t,VAL2_bruto_t
NQ,0.1 ATR,sin objetivo,False,6962,1.8149113660062566,0.17437517954610743,1581.196342668863,-302.6947599164929,1.1032725825780603,25.809089342142876,0.02487184212106705,0.6937094486873338,-4.675935049437263,-1.154953480351049,2.5486950334272604,7.547067452700742,0.1788681466134263,0.9262310996952291,73.01112538940743,2.4400290393588824,3.016472709945434
NQ,0.1 ATR,sin objetivo,True,9120,2.37747653806048,0.25219298245614036,427.51826086956527,-157.40497276916636,0.915966694530081,-9.891437969924816,-0.08976467940143451,-6.942652931874539,-15.871491860425744,-9.543743499177348,0.7698236298885618,5.952515618492205,0.23334035758722857,2.010668815455727,-8.897986552715796,-0.9399268330624502,0.72185045729246
ES,EMA50,1R,False,5860,1.5276329509906152,0.508703071672355,159.55234241342484,-221.44489089459762,0.746032643346293,-27.63042801213772,-0.23076772753078215,-12.936420723290746,-25.713536586598913,-11.933443227603853,2.7222102602440494,-39.138977583175695,-4.731308876760274,-0.11658819462314164,-25.649986571621014,-3.7746237169662247,0.9043437135753896
ES,EMA50,1R,True,6167,1.6076642335766422,0.2985244040862656,145.30502751743808,-110.0968809918087,0.5616592280286703,-33.85317845159086,-0.265998977551426,-27.0443305357635,-31.63745752365788,-26.47260678839038,-0.5932880200187675,-39.17986447506978,-8.466984390541723,-1.0941668518964116,-35.063270329108725,-7.820995283532462,-0.6397305868689745
ES,EMA50,2R,False,5286,1.377997914494265,0.34903518728717364,349.1514760715431,-219.75378396988722,0.851901177037167,-21.185829982668345,-0.20926647875193716,-7.259898951774547,-22.643785490132547,-7.114131290876019,2.6182242683447745,-32.291866318927454,-2.998958354911542,0.15544722229870242,-14.362235797214092,-1.2969210966457694,1.8322671957771526
ES,EMA50,2R,True,5918,1.5427528675703859,0.21882392700236566,223.0247352232896,-105.02781715995498,0.594832334046451,-33.24206938430414,-0.2617114337595677,-21.520669970948116,-32.48158934752885,-21.732022282808536,-0.5462334764971678,-38.18002580192154,-6.9083176308919825,-0.8938998803785886,-32.33433193052172,-5.448114955753198,0.2008179232404412
ES,EMA50,3R,False,5022,1.3091762252346193,0.27260055754679413,511.49649398786494,-217.34790636508214,0.8819439309478655,-18.664516464009928,-0.20836817823902587,-5.758210925542844,-23.65931872701141,-6.285536378066648,1.704917028617412,-28.72601283261283,-1.9969728170713612,0.5454367097849541,-7.156207457151306,-0.390192500243606,2.129346926129542
ES,EMA50,3R,True,5810,1.5145985401459854,0.20654044750430292,241.2856683119973,-104.09875697472033,0.6033458137303163,-32.762903214985165,-0.2696155194309862,-20.36832019151638,-33.867788157099596,-21.730384774361575,-1.3199688568555188,-36.62678477088748,-6.335813535905787,-0.8747677619559983,-29.38643178580976,-4.4509740773512,0.5385512188764288
ES,EMA50,sin objetivo,False,4707,1.2270594369134515,0.18950499256426598,884.1222869955155,-210.57786809583345,0.9816799612598299,-3.1267233451465155,-0.14154031173772175,-2.640576311827675,-19.598883235371616,-4.203069404660691,1.6562580831531275,-22.01375196541796,-0.6809741650214549,0.9815920399737005,29.574609145703473,1.1990595503557928,2.7726445304985856
ES,EMA50,sin objetivo,True,5702,1.486444212721585,0.20448965275341985,245.0869125214408,-103.79769287021641,0.6069570005794129,-32.45440106266253,-0.2787525648943325,-19.48413812254264,-34.59406832699871,-21.9692018327481,-1.7744091043254886,-39.99951031878966,-6.94344073933673,-1.3845755847925525,-25.861384262321273,-3.4935295684992553,0.8044706375927022
ES,vela VI,1R,False,3415,0.8902502606882169,0.4427525622254758,44.95924603174604,-106.30519180241724,0.33602960927396597,-39.33247437774524,-0.5861731815474768,-27.002983285996045,-33.67745730550284,-17.43904651985628,-0.9338192314090754,-36.65080459770114,-11.062121119087527,-1.3214606381681349,-43.66667808219177,-19.0830079936406,-4.890148392685981
ES,vela VI,1R,True,3416,0.8905109489051095,0.42418032786885246,45.111290545203595,-101.0192780884596,0.3289614570187794,-39.03356557377048,-0.5820596504006118,-28.420604098769147,-33.36663507109004,-18.754323437157712,-0.8302412183152449,-36.15819376026272,-11.416978368269001,-1.203225623693528,-43.44550228310502,-19.5201862451789,-4.899874393933634
ES,vela VI,2R,False,3378,0.8806047966631908,0.30106571936056836,122.50941986234021,-106.09354510800509,0.49739966399834307,-37.26902901124925,-0.5681148433435047,-19.98887677128217,-37.35156279961649,-14.154648290665527,-2.3074110367830216,-36.76,-8.412086600321176,-1.385310155284652,-37.39544668587896,-12.039346987954161,-1.9809082941023126
