regla,salida,DEV_n,DEV_bp,DEV_t,DEV_wr,VAL1_n,VAL1_bp,VAL1_t,VAL1_wr,VAL2_n,VAL2_bp,VAL2_t,VAL2_wr
IBS<0.2 & >SMA50,f2,153,3.788154616195083,0.32500865867605094,0.5882352941176471,58,54.81048532946566,2.401042811393879,0.7931034482758621,115,39.522740244934475,2.7256782472884407,0.591304347826087
RSI2<10 & >SMA50,f2,69,0.20068696791062446,0.014345615209775927,0.5362318840579711,17,-44.00453400614495,-0.7815504221723756,0.5882352941176471,41,59.70287092603861,3.076530010749707,0.7073170731707317
RSI2<20 & >SMA50,f2,154,2.9058586092830985,0.2775187691400874,0.5324675324675324,45,-18.100702276741174,-0.4870728872467113,0.5333333333333333,103,65.84285793769561,4.1733947816858254,0.6504854368932039
2+ bajistas & >SMA50,f2,196,9.23781903851408,0.980967647923438,0.5459183673469388,48,-16.193764017441236,-0.5516590043179581,0.5833333333333334,129,61.74695787031596,4.599210264695777,0.6589147286821705
3+ bajistas & >SMA50,f2,63,8.876240028566983,0.5642611437774518,0.5555555555555556,18,-84.69591437406763,-1.632240460465861,0.4444444444444444,47,78.1997644368628,3.7424210706658894,0.7446808510638298
3+ alcistas & >SMA50 (short),f2,271,-19.759697568476543,-3.262246222071765,0.3505535055350554,97,6.085946818200671,0.3668136069517816,0.3917525773195876,172,4.312927875259259,0.4610472009278045,0.45930232558139533
4+ alcistas & >SMA50 (short),f2,162,-26.739706649756876,-3.7724664418858898,0.2962962962962963,56,23.159044150416044,1.097191338904873,0.4107142857142857,100,11.274011416757846,0.9241254604943219,0.5
base & >SMA200,f2,1609,7.863677091447645,2.418281616889114,0.5724052206339342,478,23.79091297045706,2.809387904301348,0.6317991631799164,924,12.047521125596292,2.4350181551625765,0.5627705627705628
IBS<0.1 & >SMA200,f2,120,1.7074026132835864,0.1041991956743045,0.5666666666666667,44,64.23517896162126,2.4078749371415076,0.7272727272727273,85,41.71763030251987,2.53142902251166,0.6352941176470588
IBS<0.2 & >SMA200,f2,239,12.081827008496104,1.1740115927370878,0.5899581589958159,77,60.952505781936686,2.8405203719369485,0.7532467532467533,160,11.85698619726166,0.9332145520722316,0.525
RSI2<10 & >SMA200,f2,143,18.523952545935597,1.3329917832000964,0.5524475524475524,25,-28.865238426612805,-0.5938931830665605,0.56,78,47.22652209407318,2.6829811476520127,0.6282051282051282
RSI2<20 & >SMA200,f2,261,17.389886804354926,1.7913341543753258,0.5593869731800766,64,-9.857979846529943,-0.3199576872221614,0.515625,167,38.84693559053783,3.0343444332324734,0.5988023952095808
2+ bajistas & >SMA200,f2,294,17.010220997992516,1.8901965576223512,0.5612244897959183,64,-19.55580211454008,-0.6847217078448884,0.53125,165,42.122009736809474,3.4894431509475266,0.6181818181818182
3+ bajistas & >SMA200,f2,121,16.58086520482911,1.038239014015674,0.5619834710743802,24,-109.65888082033128,-2.3784886023884133,0.375,63,72.63408143102801,3.967841970567535,0.7301587301587301
3+ alcistas & >SMA200 (short),f2,292,-21.217824348411398,-3.6285344542056066,0.3458904109589041,97,-3.5423058775223937,-0.20724277445721717,0.3711340206185567,185,-10.212918314541852,-1.1087080810785706,0.43243243243243246
4+ alcistas & >SMA200 (short),f2,171,-26.003995300933298,-3.6948146532119712,0.2982456140350877,57,20.7490435447423,0.9928779480427724,0.40350877192982454,105,-4.527800903082081,-0.3808626310955276,0.47619047619047616
base (todos),f5,1849,28.508375932864702,5.433116159515955,0.6024878312601406,542,69.77266633118596,5.105092784894862,0.6512915129151291,1241,23.84697521319596,2.8329261425229144,0.5825946817082998
base,f5,1849,28.508375932864702,5.433116159515955,0.6024878312601406,542,69.77266633118596,5.105092784894862,0.6512915129151291,1241,23.84697521319596,2.8329261425229144,0.5825946817082998
