,mean_pts,sd,n,up,mean_bp,t,bp_2021,bp_2022,bp_2023,bp_2024,años_mismo_signo
01:30,0.5567141403865717,16.661415011639775,983,0.5330620549338759,0.3349872407408853,1.0476039545652174,0.8117891571731095,0.2521885733528414,0.4339355736066644,-0.06401435119408885,3
02:00,-0.5,19.088649179418333,983,0.4862665310274669,-0.31950081310035233,-0.8212427846121991,-0.7633542969368367,0.3203031409564264,-0.6808578458243942,-0.24041888671370118,3
02:30,0.3786876907426246,15.759217908600489,983,0.5127161749745677,0.19978326242449757,0.7533959596058656,1.2925986019803422,-0.13277549289495624,-0.5536289063551718,0.40393348555174885,2
03:00,-0.7695829094608342,29.298194937707944,983,0.5066124109867752,-0.5864255530399213,-0.8235525365416708,-0.7305946972488809,-1.8996874355153588,0.31502225361469405,-0.06042086749074865,3
03:30,1.2835707019328586,20.994013843899353,983,0.5269582909460834,0.846454957819576,1.916907140944477,-0.023623557299281103,1.7746873102962546,0.6028596745696482,0.8632115882605821,3
04:00,0.14496439471007122,24.255127170702664,983,0.5116988809766022,0.13097741384292447,0.18738488193828323,0.20219436654094555,0.6677591565328157,0.41095281310331866,-0.7398197629306741,3
04:30,-0.17065106815869788,19.496260824417686,983,0.5198372329603256,-0.21174824214667498,-0.2744318059885317,0.13519537992647893,-0.6097610766777688,-0.4808423451024544,0.17415645468883578,2
05:00,-0.4669379450661241,17.32149799390239,983,0.49440488301119023,-0.30010477391899854,-0.8451824661508227,0.023435648237952675,-0.34718296910300206,-0.07870836417854855,-0.7335816355568712,3
05:30,0.5366225839267549,16.541454331225992,983,0.5300101729399797,0.4238162189750518,1.0171195801464332,-0.253093637846616,1.0594692287007852,0.2550441867567684,0.5023565974383134,3
06:00,-0.4170905391658189,17.816782743551048,983,0.49745676500508645,-0.2882881818827298,-0.7339691624728384,0.1146973288644994,-0.32412824647872834,-0.9278821328254958,0.06090482882606387,2
06:30,0.8588504577822991,16.347291485173916,983,0.5371312309257376,0.5502601918690869,1.6472082314733167,0.3430444544488797,1.0270531207083897,-0.09178408494558798,0.8812861422978481,3
07:00,1.0488301119023398,21.54497926483162,983,0.5350966429298067,0.5922259118010211,1.5262856671169578,0.3933490061087339,-0.35197724658257196,0.812016751883547,1.473557087498593,3
07:30,-1.3830111902339777,20.419553577798307,983,0.47914547304170907,-1.0093257359550658,-2.1235192872820083,-1.5607432056508321,-1.7688595511479075,-0.38532842454905053,-0.4314753433924383,4
08:00,-0.08723296032553408,22.22218924362957,983,0.5167853509664293,-0.11195496005831573,-0.12307519373697665,-0.35177743732941946,-0.08327770126784417,0.25845103374458456,-0.31689860444712026,3
08:30,-1.0218718209562563,53.056476698991574,983,0.4933875890132248,-0.8167256668016992,-0.6038579323117477,0.5348910039844831,-5.067158691214727,1.3164559810248357,0.20688277966852947,1
