etiqueta,año,top,sym,n,wr,R,R_suma
y12,2026,0.1,YM,11,0.5454545454545454,0.5763380634672716,6.339718698139987
y12,2026,0.05,ES,6,0.6666666666666666,0.9075652543320261,5.445391525992156
y12,2026,0.05,NQ,8,0.375,0.10205478917840016,0.8164383134272013
y12,2026,0.05,YM,5,0.6,0.7399744271036233,3.6998721355181163
y12,2026,0.02,ES,1,1.0,1.9075652543320025,1.9075652543320025
y12,2026,0.02,NQ,3,0.3333333333333333,-0.022945210821611495,-0.06883563246483448
y11,2014,1.0,ES,243,0.5432098765432098,0.009045409791158556,2.1980345792515292
y11,2014,1.0,NQ,243,0.5349794238683128,0.04736647881751861,11.510054352657022
y11,2014,1.0,YM,248,0.5564516129032258,0.06138257618698442,15.222878894372137
y11,2014,0.2,ES,163,0.5521472392638037,0.026750619368808657,4.360350957115811
y11,2014,0.2,NQ,162,0.5493827160493827,0.07443738322910597,12.058856083115167
y11,2014,0.2,YM,163,0.5214723926380368,-0.009357728172615555,-1.5253096921363354
y11,2014,0.1,ES,97,0.4948453608247423,-0.09421108530749257,-9.13847527482678
y11,2014,0.1,NQ,91,0.5164835164835165,0.004576348608719231,0.41644772339345004
y11,2014,0.1,YM,85,0.5411764705882353,0.032331630429509754,2.7481885865083293
y11,2014,0.05,ES,46,0.45652173913043476,-0.17847823008562141,-8.209998583938585
y11,2014,0.05,NQ,51,0.49019607843137253,-0.05526886109581173,-2.8187119158863982
y11,2014,0.05,YM,43,0.4883720930232558,-0.07327712470044365,-3.1509163621190766
y11,2014,0.02,ES,16,0.5,-0.11869562138997042,-1.8991299422395267
y11,2014,0.02,NQ,16,0.5625,0.10587899098198977,1.6940638557118364
y11,2014,0.02,YM,13,0.6923076923076923,0.3345940738684558,4.349722960289926
y11,2015,1.0,ES,250,0.54,0.002971045276686891,0.7427613191717228
y11,2015,1.0,NQ,250,0.488,-0.043121009017999534,-10.780252254499883
y11,2015,1.0,YM,250,0.492,-0.06602131074696632,-16.50532768674158
y11,2015,0.2,ES,159,0.5031446540880503,-0.07073964654721443,-11.247603801007095
y11,2015,0.2,NQ,169,0.5029585798816568,-0.013203849254685733,-2.2314505240418887
y11,2015,0.2,YM,160,0.525,-2.131074696834212e-05,-0.0034097195149347392
y11,2015,0.1,ES,78,0.5128205128205128,-0.05138792908229376,-4.008258468418913
y11,2015,0.1,NQ,99,0.5252525252525253,0.03138404148705115,3.1070201072180637
y11,2015,0.1,YM,96,0.5416666666666666,0.03331202258636775,3.197954168291304
y11,2015,0.05,ES,44,0.5227272727272727,-0.03157440926877583,-1.3892740078261367
y11,2015,0.05,NQ,54,0.5185185185185185,0.017916028019037834,0.9674655130280431
y11,2015,0.05,YM,54,0.48148148148148145,-0.08705834778400579,-4.701150780336312
y11,2015,0.02,ES,20,0.35,-0.3770289547233109,-7.540579094466217
y11,2015,0.02,NQ,21,0.5238095238095238,0.02849803860105452,0.5984588106221449
y11,2015,0.02,YM,29,0.41379310344827586,-0.22243510385040943,-6.450618011661874
y11,2016,1.0,ES,251,0.4581673306772908,-0.16091874766422504,-40.390605663720486
y11,2016,1.0,NQ,251,0.4900398406374502,-0.03904132774310286,-9.799373263518817
y11,2016,1.0,YM,251,0.47410358565737054,-0.10193977893140327,-25.58688451178222
y11,2016,0.2,ES,157,0.4840764331210191,-0.1092349294250262,-17.149883919729113
y11,2016,0.2,NQ,157,0.47770700636942676,-0.06370699627914725,-10.001998415826119
y11,2016,0.2,YM,160,0.50625,-0.03771840771130921,-6.034945233809474
y11,2016,0.1,ES,89,0.5393258426966292,0.0009897191174833102,0.08808500145601461
y11,2016,0.1,NQ,90,0.5111111111111111,0.003101213204221858,0.27910918837996723
y11,2016,0.1,YM,80,0.5125,-0.025415504675644584,-2.0332403740515668
y11,2016,0.05,ES,44,0.5454545454545454,0.012599726454664966,0.5543879640052585
y11,2016,0.05,NQ,42,0.5476190476190477,0.07611708622008867,3.196917621243724
y11,2016,0.05,YM,36,0.5277777777777778,0.004658258300422864,0.1676972988152231
y11,2016,0.02,ES,15,0.6,0.12297104527671499,1.8445656791507248
y11,2016,0.02,NQ,21,0.42857142857142855,-0.16197815187514425,-3.401541189378029
y11,2016,0.02,YM,12,0.5833333333333334,0.11401739639519419,1.3682087567423302
y11,2017,1.0,ES,249,0.5421686746987951,0.019035234528854996,4.739773397684894
y11,2017,1.0,NQ,249,0.46184738955823296,-0.09548443373135479,-23.775623999107342
y11,2017,1.0,YM,249,0.5261044176706827,0.0020694050574347356,0.5152818593012491
y11,2017,0.2,ES,152,0.5592105263157895,0.047634403232977754,7.240429291412618
y11,2017,0.2,NQ,172,0.47093023255813954,-0.07734480409721392,-13.303306304720795
y11,2017,0.2,YM,152,0.5460526315789473,0.042083952410936785,6.396760766462391
y11,2017,0.1,ES,86,0.5697674418604651,0.07353884073432132,6.324340303151633
y11,2017,0.1,NQ,105,0.5333333333333333,0.0474076314236764,4.977801299486022
y11,2017,0.1,YM,84,0.5357142857142857,0.02140726068161109,1.7982098972553315
y11,2017,0.05,ES,42,0.5952380952380952,0.13603843597563145,5.713614310976521
y11,2017,0.05,NQ,54,0.46296296296296297,-0.09346346741845067,-5.047027240596337
y11,2017,0.05,YM,33,0.48484848484848486,-0.08032434104998408,-2.6507032546494744
y11,2017,0.02,ES,18,0.5555555555555556,0.03408215638781251,0.6134788149806252
y11,2017,0.02,NQ,18,0.5,-0.019926161997083205,-0.35867091594749767
y11,2017,0.02,YM,8,0.5,-0.05002131074701752,-0.40017048597614013
y11,2018,1.0,ES,248,0.5685483870967742,0.0600678194702421,14.89681922862004
y11,2018,1.0,NQ,248,0.5604838709677419,0.10184673291748005,25.25798976353505
y11,2018,1.0,YM,248,0.5685483870967742,0.08707546344658365,21.594714934752744
y11,2018,0.2,ES,168,0.5714285714285714,0.06582818813383569,11.059135606484396
y11,2018,0.2,NQ,175,0.5485714285714286,0.07802184812485359,13.65382342184938
y11,2018,0.2,YM,185,0.5783783783783784,0.10673544600979083,19.746057511811305
y11,2018,0.1,ES,113,0.584070796460177,0.09111263819704488,10.295728116266071
y11,2018,0.1,NQ,113,0.584070796460177,0.14902058390234987,16.839325980965537
y11,2018,0.1,YM,127,0.5669291338582677,0.08383695696956664,10.647293535134963
y11,2018,0.05,ES,61,0.6721311475409836,0.26723334035866325,16.301233761878457
y11,2018,0.05,NQ,53,0.6226415094339622,0.2261620098499194,11.986586522045728
y11,2018,0.05,YM,71,0.6619718309859155,0.2739223512248564,19.448486936964805
y11,2018,0.02,ES,35,0.6571428571428571,0.237256759562412,8.30398658468442
y11,2018,0.02,NQ,28,0.6785714285714286,0.33802184812485614,9.464611747495972
y11,2018,0.02,YM,33,0.6363636363636364,0.222705961980303,7.349296745349999
y11,2019,1.0,ES,249,0.5742971887550201,0.07156542278673082,17.819790273895975
y11,2019,1.0,NQ,249,0.5742971887550201,0.12947336849203553,32.238868754516844
y11,2019,1.0,YM,249,0.5341365461847389,0.02210934086263048,5.50522587479499
y11,2019,0.2,ES,170,0.5470588235294118,0.01708869233551406,2.90507769703739
y11,2019,0.2,NQ,163,0.5460122699386503,0.0729035308592982,11.883275530065607
y11,2019,0.2,YM,165,0.5575757575757576,0.0709516119850918,11.707015977540147
y11,2019,0.1,ES,104,0.5576923076923077,0.038355660661305545,3.9889887087757767
y11,2019,0.1,NQ,100,0.57,0.12087899098199738,12.087899098199738
y11,2019,0.1,YM,93,0.5806451612903226,0.12159731560560974,11.308550351321706
y11,2019,0.05,ES,50,0.64,0.20297104527670057,10.148552263835029
y11,2019,0.05,NQ,53,0.5283018867924528,0.03748276456690623,1.9865865220460304
