tipo,R,S,rr,K,G,colchon,cons,cons_pcobra,cons_dias,opt,opt_pcobra,opt_dias,prom
growth,100,90,1.5,1,600.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,1.5,1,600.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,1.5,1,1000000000.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,1.5,1,1000000000.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,1.5,2,300.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,1.5,2,300.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,1.5,2,600.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,1.5,2,600.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,1.5,2,1000000000.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,1.5,2,1000000000.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,2.0,1,300.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,2.0,1,300.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,2.0,1,600.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,2.0,1,600.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,2.0,1,1000000000.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,2.0,1,1000000000.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,2.0,2,300.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,2.0,2,300.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,2.0,2,600.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,2.0,2,600.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,2.0,2,1000000000.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,2.0,2,1000000000.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,3.0,1,300.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,3.0,1,300.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,3.0,1,600.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,3.0,1,600.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,3.0,1,1000000000.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,3.0,1,1000000000.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
