tipo,modo,t_ini,S,T,rr,R,K,G,L,rfrac,colchon,cons_ev,cons_pcobra,cons_nret,cons_dias,cons_pap,cons_neto_cupo,cons_neto_año,opt_ev,opt_pcobra,opt_nret,opt_dias,opt_pap,opt_neto_cupo,opt_neto_año,min_neto_cupo,min_neto_año,min_pcobra,rr_b
growth,2,31,11.0,32.5,2.9545454545454546,277.48563894564546,1,900.0,554.9712778912909,0.1,1000.0,187.07142857142856,0.0942857142857142,0.1314285714285714,250.0,0.3915,-50.47646414887791,-50.57681497223552,86.78571428571429,0.0528571428571428,0.0642857142857142,250.0,0.39775,-147.0294962736823,-147.3218014352602,-147.0294962736823,-147.3218014352602,0.0528571428571428,2-3.5
select_flex,2,16,45.75,19.25,0.4207650273224044,175.7739160461276,2,900.0,1000000000.0,0.0,-1.0,0.0,0.0,0.0,161.65714285714284,0.306,-323.5294117647059,-453.8055680287383,0.0,0.0,0.0,188.49571428571429,0.4259,-232.4489316741019,-283.6723802452599,-323.5294117647059,-453.8055680287383,0.0,0.3-0.6 (WR alto)
growth,3,16,117.75,78.5,0.6666666666666666,63.99594245494615,2,150.0,63.99594245494615,0.1,-1.0,0.0,0.0,0.0,250.0,0.3558,-261.38279932546374,-261.9024470378404,0.0,0.0,0.0,250.0,0.36055,-257.9392594647067,-258.45206117338404,-261.38279932546374,-261.9024470378404,0.0,0.6-1
select_flex,0,1,8.5,2.25,0.2647058823529412,1167.7613063004671,1,150.0,1167.7613063004671,0.0,-1.0,0.0,0.0,0.0,40.39857142857143,0.2908,-340.4401650618982,-1469.058565936516,0.0,0.0,0.0,40.831428571428575,0.31655,-312.74680145316694,-1339.6274046024632,-340.4401650618982,-1469.058565936516,0.0,<0.3 (WR muy alto)
growth,0,1,38.75,70.0,1.8064516129032255,133.67319181896576,8,150.0,1000000000.0,0.1,2500.0,88.71428571428571,0.0414285714285714,0.0657142857142857,250.0,0.37535,-159.054463453158,-159.37067511012253,40.5,0.02,0.03,250.0,0.394,-195.54060913705584,-195.92935786297443,-195.54060913705584,-195.92935786297443,0.02,1-2
select_flex,2,16,115.25,83.25,0.7223427331887202,178.48828279196488,3,450.0,1000000000.0,0.0,-1.0,0.0,0.0,0.0,250.0,0.306,-323.5294117647059,-304.2142230026339,0.0,0.0,0.0,250.0,0.4259,-232.4489316741019,-218.57138351445403,-323.5294117647059,-304.2142230026339,0.0,0.6-1
growth,2,31,11.0,8.25,0.75,42.303140408109286,8,1000000000.0,42.303140408109286,0.1,-1.0,0.0,0.0,0.0,250.0,0.3915,-237.5478927203065,-238.0201549324741,0.0,0.0,0.0,250.0,0.39775,-233.8152105593966,-234.2800519322781,-237.5478927203065,-238.0201549324741,0.0,0.6-1
select_flex,0,1,99.5,496.5,4.989949748743719,491.0769006927341,1,450.0,982.1538013854682,0.1,-1.0,0.0,0.0,0.0,250.0,0.2908,-340.4401650618982,-320.11537908805354,0.0,0.0,0.0,250.0,0.31655,-312.74680145316694,-294.07535062014205,-340.4401650618982,-320.11537908805354,0.0,>3.5 (WR bajo)
growth,0,1,8.25,3.0,0.3636363636363636,162.0144357063873,1,450.0,1000000000.0,0.5,-1.0,0.0,0.0,0.0,248.11714285714285,0.37535,-247.7687491674437,-250.13396145604165,0.0,0.0,0.0,247.71285714285716,0.394,-236.04060913705584,-238.68043641280056,-247.7687491674437,-250.13396145604165,0.0,0.3-0.6 (WR alto)
select_flex,2,16,48.5,156.5,3.2268041237113403,796.9575453967968,1,1000000000.0,1000000000.0,0.0,-1.0,666.6195600875762,0.1671428571428571,0.3285714285714285,10.17,0.306,343.09014832287033,3069.1770456997983,2062.309346362249,0.2428571428571428,0.95,20.61285714285714,0.4259,1829.860414688148,11942.26116952123,343.09014832287033,3069.1770456997983,0.1671428571428571,2-3.5
growth,3,16,28.75,59.5,2.0695652173913044,165.30334683261012,3,225.0,165.30334683261012,0.5,-1.0,395.2471255120061,0.2157142857142857,0.29,249.9142857142857,0.3558,133.86432618654237,134.17618693849693,69.42857142857143,0.0471428571428571,0.0514285714285714,250.0,0.36055,-188.5106880361353,-188.88546077576976,-188.5106880361353,-188.88546077576976,0.0471428571428571,2-3.5
select_flex,2,16,56.25,39.25,0.6977777777777778,58.58846051448643,2,150.0,58.58846051448643,0.1,-1.0,0.0,0.0,0.0,250.0,0.306,-323.5294117647059,-304.2142230026339,0.0,0.0,0.0,250.0,0.4259,-232.4489316741019,-218.57138351445403,-323.5294117647059,-304.2142230026339,0.0,0.6-1
growth,2,16,55.5,20.75,0.3738738738738739,41.27292516487952,5,900.0,82.54585032975903,0.1,-1.0,0.0,0.0,0.0,250.0,0.3891,-239.01310717039323,-239.48828233375386,0.0,0.0,0.0,250.0,0.43365,-214.45866482186096,-214.8850239964571,-239.01310717039323,-239.48828233375386,0.0,0.3-0.6 (WR alto)
select_flex,1,1,32.75,15.25,0.465648854961832,190.5728655616753,2,150.0,190.5728655616753,0.0,-1.0,0.0,0.0,0.0,124.69,0.3276,-302.1978021978022,-533.7013536607062,0.0,0.0,0.0,84.48142857142857,0.29715,-333.1650681474003,-819.2469439926596,-333.1650681474003,-819.2469439926596,0.0,0.3-0.6 (WR alto)
growth,0,1,74.75,55.25,0.7391304347826086,811.8693906813313,5,1000000000.0,811.8693906813313,0.0,-1.0,169.71428571428572,0.0914285714285714,0.1228571428571428,17.4,0.37535,-78.05446345315798,-1040.7261793754399,131.14285714285714,0.0657142857142857,0.0957142857142857,14.65857142857143,0.394,-104.8977519941987,-1635.9263948171383,-104.8977519941987,-1635.9263948171383,0.0657142857142857,0.6-1
select_flex,1,1,29.0,4.25,0.146551724137931,53.47384243483604,2,1000000000.0,1000000000.0,0.5,-1.0,0.0,0.0,0.0,250.0,0.3276,-302.1978021978022,-284.1561423650976,0.0,0.0,0.0,250.0,0.29715,-333.1650681474003,-313.2746163177047,-333.1650681474003,-313.2746163177047,0.0,<0.3 (WR muy alto)
growth,1,1,49.75,37.75,0.7587939698492462,508.6685613181934,2,225.0,508.6685613181934,0.25,1000.0,412.7142857142857,0.1814285714285714,0.2928571428571428,250.0,0.4027,181.77313845826387,182.1345164671272,175.5,0.0885714285714285,0.1271428571428571,250.0,0.39055,-62.62572013826653,-62.7502245520603,-62.62572013826653,-62.7502245520603,0.0885714285714285,0.6-1
select_flex,0,1,69.25,23.25,0.335740072202166,802.6806554706055,8,225.0,1605.361310941211,0.1,-1.0,84.89496719244696,0.2242857142857142,0.2457142857142857,250.0,0.2908,-255.54519786945124,-240.2887681459019,92.35236363370252,0.2257142857142857,0.26,250.0,0.31655,-220.39443781946443,-207.23656093472027,-255.54519786945124,-240.2887681459019,0.2242857142857142,0.3-0.6 (WR alto)
growth,2,31,50.5,24.25,0.4801980198019802,666.4657463113502,8,450.0,1000000000.0,0.5,2500.0,223.7142857142857,0.0942857142857142,0.16,250.0,0.3915,-13.83360700602077,-13.861109206827969,331.7142857142857,0.1171428571428571,0.2214285714285714,249.67714285714283,0.39775,97.89907515488912,98.21979284581424,-13.83360700602077,-13.861109206827969,0.0942857142857142,0.3-0.6 (WR alto)
select_flex,3,16,89.0,311.0,3.49438202247191,65.95771013690538,1,900.0,65.95771013690538,0.25,-1.0,0.0,0.0,0.0,250.0,0.2099,-471.6531681753216,-443.49477007530237,0.0,0.0,0.0,250.0,0.1834,-539.8037077426391,-507.5766207132278,-539.8037077426391,-507.5766207132278,0.0,2-3.5
growth,2,31,29.25,6.5,0.2222222222222222,69.11322434823819,3,900.0,1000000000.0,0.25,-1.0,0.0,0.0,0.0,250.0,0.3915,-237.5478927203065,-238.0201549324741,0.0,0.0,0.0,250.0,0.39775,-233.8152105593966,-234.2800519322781,-237.5478927203065,-238.0201549324741,0.0,<0.3 (WR muy alto)
select_flex,2,31,7.5,3.75,0.5,43.40378858666579,5,225.0,86.80757717333158,0.25,-1.0,0.0,0.0,0.0,250.0,0.3128,-316.49616368286445,-297.6008703286636,0.0,0.0,0.0,250.0,0.31945,-309.90765377993426,-291.4057043005352,-316.49616368286445,-297.6008703286636,0.0,0.3-0.6 (WR alto)
