tipo,size,fr,R,S,rr,K,G,L,reserva,ev,p_cobra,n_ret,quiebra,dias,sd
growth,25,0.05,50.0,10,0.5,3,1000000000.0,100.0,500,0.0,0.0,0.0,0.964,20.3125,0.0
growth,25,0.05,50.0,10,0.5,3,1000000000.0,1000000000.0,0,0.0,0.0,0.0,0.968,17.5995,0.0
growth,25,0.05,50.0,10,0.5,3,1000000000.0,1000000000.0,500,0.0,0.0,0.0,0.968,17.5995,0.0
growth,25,0.05,50.0,10,1.0,1,100.0,50.0,0,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,100.0,50.0,500,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,100.0,100.0,0,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,100.0,100.0,500,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,100.0,1000000000.0,0,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,100.0,1000000000.0,500,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,200.0,50.0,0,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,200.0,50.0,500,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,200.0,100.0,0,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,200.0,100.0,500,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,200.0,1000000000.0,0,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,200.0,1000000000.0,500,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,400.0,50.0,0,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,400.0,50.0,500,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,400.0,100.0,0,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,400.0,100.0,500,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,400.0,1000000000.0,0,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,400.0,1000000000.0,500,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,1000000000.0,50.0,0,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,1000000000.0,50.0,500,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,1000000000.0,100.0,0,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,1000000000.0,100.0,500,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,1000000000.0,1000000000.0,0,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,1,1000000000.0,1000000000.0,500,0.0,0.0,0.0,0.99,52.177,0.0
growth,25,0.05,50.0,10,1.0,2,100.0,50.0,0,0.0,0.0,0.0,0.9905,40.995,0.0
growth,25,0.05,50.0,10,1.0,2,100.0,50.0,500,0.0,0.0,0.0,0.9905,40.995,0.0
growth,25,0.05,50.0,10,1.0,2,100.0,100.0,0,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,100.0,100.0,500,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,100.0,1000000000.0,0,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,100.0,1000000000.0,500,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,200.0,50.0,0,0.0,0.0,0.0,0.9905,40.995,0.0
growth,25,0.05,50.0,10,1.0,2,200.0,50.0,500,0.0,0.0,0.0,0.9905,40.995,0.0
growth,25,0.05,50.0,10,1.0,2,200.0,100.0,0,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,200.0,100.0,500,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,200.0,1000000000.0,0,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,200.0,1000000000.0,500,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,400.0,50.0,0,0.0,0.0,0.0,0.9905,40.995,0.0
growth,25,0.05,50.0,10,1.0,2,400.0,50.0,500,0.0,0.0,0.0,0.9905,40.995,0.0
growth,25,0.05,50.0,10,1.0,2,400.0,100.0,0,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,400.0,100.0,500,0.0,0.0,0.0,0.993,27.455,0.0
