R,S,rr,K,G,colchon,ev,p_cobra,n_ret,dias,neto_cupo,neto_cupo_año
100,40,1,1,600.0,0,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,600.0,500,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,600.0,1000,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,600.0,1500,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,600.0,2500,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,1000000000.0,-1,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,1000000000.0,0,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,1000000000.0,500,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,1000000000.0,1000,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,1000000000.0,1500,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,1000000000.0,2500,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,2,300.0,-1,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,300.0,0,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,300.0,500,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,300.0,1000,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,300.0,1500,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,300.0,2500,0.0,0.0,0.0,150.30266666666665,-234.19793502895996,-392.6602297628202
100,40,1,2,600.0,-1,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
