plan,fr,S,rr,K,G,cons,cons_dias,opt,opt_dias,prom
growth,1.0,30,4.0,1,1000000000.0,0.365,1.0,0.411,1.0,0.388
growth,1.0,30,4.0,2,1000000000.0,0.379,1.0,0.427,1.0,0.403
growth,1.0,45,1.5,1,1000000000.0,0.2885,2.0,0.34425,2.0,0.31637499999999996
growth,1.0,45,1.5,2,1000000000.0,0.36975,1.0,0.399,1.0,0.384375
growth,1.0,45,2.0,1,1000000000.0,0.32175,2.0,0.3735,2.0,0.34762499999999996
growth,1.0,45,2.0,2,1000000000.0,0.381,1.0,0.4225,1.0,0.40175
growth,1.0,45,3.0,1,1000000000.0,0.359,1.0,0.40775,1.0,0.383375
growth,1.0,45,3.0,2,1000000000.0,0.3845,1.0,0.42275,1.0,0.403625
growth,1.0,45,4.0,1,1000000000.0,0.3685,1.0,0.41,1.0,0.38925
growth,1.0,45,4.0,2,1000000000.0,0.38325,1.0,0.42625,1.0,0.40475
growth,1.0,60,1.5,1,1000000000.0,0.30675,2.0,0.3715,2.0,0.339125
growth,1.0,60,1.5,2,1000000000.0,0.38525,1.0,0.4255,1.0,0.405375
growth,1.0,60,2.0,1,1000000000.0,0.33975,2.0,0.39925,2.0,0.3695
growth,1.0,60,2.0,2,1000000000.0,0.38625,1.0,0.4435,1.0,0.414875
growth,1.0,60,3.0,1,1000000000.0,0.37875,1.0,0.42175,1.0,0.40025
growth,1.0,60,3.0,2,1000000000.0,0.3975,1.0,0.4325,1.0,0.41500000000000004
growth,1.0,60,4.0,1,1000000000.0,0.38075,1.0,0.4245,1.0,0.402625
growth,1.0,60,4.0,2,1000000000.0,0.3905,1.0,0.43,1.0,0.41025
growth,1.0,90,1.5,1,1000000000.0,0.304,3.0,0.33825,3.0,0.321125
growth,1.0,90,1.5,2,1000000000.0,0.38725,2.0,0.41375,1.0,0.40049999999999997
growth,1.0,90,2.0,1,1000000000.0,0.3265,3.0,0.35575,2.0,0.341125
growth,1.0,90,2.0,2,1000000000.0,0.37625,2.0,0.40875,2.0,0.39249999999999996
growth,1.0,90,3.0,1,1000000000.0,0.35725,2.0,0.388,2.0,0.372625
growth,1.0,90,3.0,2,1000000000.0,0.359,2.0,0.40275,2.0,0.38087499999999996
growth,1.0,90,4.0,1,1000000000.0,0.359,2.0,0.39225,2.0,0.375625
