forma,Rusd,K,cons_aprueba,cons_ev,cons_cobra,cons_vida,cons_neto_examen,opt_aprueba,opt_ev,opt_cobra,opt_vida,opt_neto_examen,min_neto
2R,150,2,0.24966666666666668,925.3915455403859,0.6823333333333333,82.40466666666667,132.03942253658303,0.26466666666666666,766.9068067745113,0.6436666666666667,68.64866666666667,103.97466819298734,103.97466819298734
2R,150,3,0.24266666666666667,892.5968398733594,0.6773333333333333,70.37033333333333,117.60349980926856,0.23466666666666666,624.9610476864477,0.5886666666666667,52.183,47.6575258570864,47.6575258570864
2R,250,1,0.26066666666666666,854.261399439745,0.6646666666666666,43.732,123.67747145396018,0.2796666666666667,851.0571234061581,0.662,40.89933333333333,139.01230884592223,123.67747145396018
2R,250,2,0.191,873.4035676980333,0.6353333333333333,29.493666666666666,67.82008143032436,0.192,873.9312000685961,0.6376666666666667,25.517333333333333,68.79479041317046,67.82008143032436
2R,250,3,0.18366666666666667,844.9457255266011,0.594,26.730333333333334,56.188364921719085,0.17033333333333334,685.4832290348043,0.5423333333333333,21.391,17.760643345595,17.760643345595
2R,400,1,0.18333333333333332,765.3209183810626,0.5036666666666667,20.218,41.30883503652814,0.19333333333333333,768.2546677603921,0.5236666666666666,18.768,49.52923576700914,41.30883503652814
2R,400,2,0.174,828.9010914785824,0.475,14.196666666666667,45.22878991727333,0.197,880.9510821397721,0.5053333333333333,12.761666666666667,74.5473631815351,45.22878991727333
2R,400,3,0.16733333333333333,828.7876897588055,0.4066666666666667,14.054666666666666,39.68380675297345,0.18566666666666667,713.3444206372773,0.365,11.439,33.44428076498781,33.44428076498781
2R,600,1,0.14466666666666667,804.6848510648214,0.33366666666666667,13.341333333333333,17.41107512071082,0.15433333333333332,862.6938008673396,0.3546666666666667,12.790333333333333,34.1424099338594,17.41107512071082
2R,600,2,0.13866666666666666,914.9877223830584,0.31466666666666665,9.907666666666668,27.878297503784097,0.164,946.521892681897,0.3333333333333333,8.883333333333333,56.229590399831125,27.878297503784097
2R,600,3,0.13966666666666666,903.9000427779381,0.25833333333333336,10.432666666666666,27.24470597465202,0.15866666666666668,847.9603529870747,0.233,9.053,35.5430426739492,27.24470597465202
parcial 0.5R+BE+cierre,100,1,0.034,296.86814734860866,0.429,410.4843333333333,-88.90648299014731,0.032,355.12775468643287,0.361,246.97033333333334,-87.63591185003415,-88.90648299014731
parcial 0.5R+BE+cierre,100,2,0.05733333333333333,305.3496457179768,0.421,290.8446666666667,-81.493286978836,0.041,246.57060276381756,0.2956666666666667,154.455,-88.89060528668348,-88.89060528668348
parcial 0.5R+BE+cierre,100,3,0.064,309.8165439187636,0.4166666666666667,251.56833333333333,-79.17174118919912,0.041,250.43310048334703,0.2786666666666667,119.85633333333334,-88.73224288018277,-88.73224288018277
