esc,modo,plan,Rusd,K,ev_3años,p_cobra,n_ret,vida_dias,ev_por_año_vida,p50,p90
opt,sin ventaja,growth,150,3,109.8,0.057,0.07933333333333334,49.269333333333336,561.5988309157826,0.0,0.0
opt,sin ventaja,growth,250,1,221.4,0.096,0.156,43.20766666666667,1291.270839280066,0.0,0.0
opt,sin ventaja,growth,250,2,158.4,0.086,0.115,24.682666666666666,1617.199654278306,0.0,0.0
opt,sin ventaja,growth,250,3,197.1,0.102,0.14133333333333334,22.19,2238.3596214511035,0.0,1350.0
opt,sin ventaja,growth,400,1,310.05,0.138,0.21533333333333332,23.08566666666667,3384.46366432274,0.0,1350.0
opt,sin ventaja,growth,400,2,206.55,0.112,0.14933333333333335,15.353,3390.2559760307436,0.0,1350.0
opt,sin ventaja,growth,400,3,217.35,0.11266666666666666,0.155,15.326333333333332,3573.731486113226,0.0,1350.0
opt,sin ventaja,growth,600,1,360.45,0.154,0.24533333333333332,18.241333333333333,4979.537314523792,0.0,1350.0
opt,sin ventaja,growth,600,2,176.85,0.096,0.127,11.637333333333334,3829.5886801099905,0.0,0.0
opt,sin ventaja,growth,600,3,192.15,0.09466666666666666,0.13533333333333333,12.754666666666667,3796.398703742421,0.0,0.0
opt,sin ventaja,growth,900,1,330.75,0.13066666666666665,0.21966666666666668,17.18,4851.513387660069,0.0,1350.0
opt,sin ventaja,growth,900,2,152.1,0.077,0.107,10.209,3754.4519541580958,0.0,0.0
opt,sin ventaja,growth,900,3,155.25,0.07266666666666667,0.10766666666666666,10.849333333333334,3606.0280201548476,0.0,0.0
