esc,modo,plan,Rusd,K,ev_3años,p_cobra,n_ret,vida_dias,ev_por_año_vida,p50,p90
cons,sin ventaja,growth,250,1,428.4,0.14266666666666666,0.282,56.639,1906.050601175868,0.0,1350.0
cons,sin ventaja,growth,250,2,246.6,0.11366666666666667,0.17233333333333334,34.324333333333335,1810.4707059132004,0.0,1350.0
cons,sin ventaja,growth,250,3,258.75,0.12266666666666666,0.18233333333333332,31.914666666666665,2043.1045287433155,0.0,1350.0
cons,sin ventaja,growth,400,1,519.75,0.17333333333333334,0.33366666666666667,31.639666666666667,4139.645381851895,0.0,1350.0
cons,sin ventaja,growth,400,2,283.05,0.136,0.19966666666666666,20.851666666666667,3420.7625289745024,0.0,1350.0
cons,sin ventaja,growth,400,3,261.45,0.12266666666666666,0.18266666666666667,21.531666666666666,3059.93033516526,0.0,1350.0
cons,sin ventaja,growth,600,1,504.0,0.16866666666666666,0.31966666666666665,24.900666666666666,5100.586329683275,0.0,1350.0
cons,sin ventaja,growth,600,2,246.15,0.118,0.17466666666666666,16.901,3670.1851961422403,0.0,1350.0
cons,sin ventaja,growth,600,3,235.8,0.107,0.16366666666666665,17.882,3322.9840062632816,0.0,1350.0
cons,sin ventaja,growth,900,1,480.15,0.13933333333333334,0.294,24.597666666666665,4919.076335153741,0.0,1350.0
cons,sin ventaja,growth,900,2,214.65,0.09133333333333334,0.14866666666666667,14.827333333333334,3648.113843801987,0.0,0.0
cons,sin ventaja,growth,900,3,190.8,0.08333333333333333,0.13333333333333333,14.912666666666667,3224.2120792167734,0.0,0.0
opt,estrategia,select_flex,75,1,163.80477572887472,0.30933333333333335,0.5783333333333334,302.312,136.54371471749857,0.0,534.4385865095182
opt,estrategia,select_flex,75,2,118.75857374076206,0.24233333333333335,0.383,205.757,145.44905195289607,0.0,396.93660556185057
opt,estrategia,select_flex,75,3,114.90541482778868,0.234,0.371,172.61933333333334,167.7457789776507,0.0,407.93859764786833
opt,estrategia,select_flex,100,1,585.2996494477858,0.592,1.8583333333333334,196.92766666666665,748.9831883830884,266.5539156985211,1664.411946149272
opt,estrategia,select_flex,100,2,502.0989463308546,0.5453333333333333,1.457,122.88066666666667,1029.6895183569047,245.5744222563238,1472.7698380618926
opt,estrategia,select_flex,100,3,468.6093552519784,0.5173333333333333,1.2653333333333334,101.432,1164.2238891424654,233.2741346690077,1397.8883273782383
opt,estrategia,select_flex,150,1,1082.3673421809972,0.7326666666666667,2.4976666666666665,85.91466666666666,3174.738153706134,645.0377370507268,2875.7999601535003
opt,estrategia,select_flex,150,2,882.1103003828479,0.6673333333333333,1.9463333333333332,49.76533333333333,4466.800095712096,505.764171574854,2431.0513714080726
opt,estrategia,select_flex,150,3,697.6135433820308,0.5993333333333334,1.4036666666666666,39.724666666666664,4425.427012576697,324.8506967867447,2001.0000206957814
opt,estrategia,select_flex,250,1,868.546526453895,0.615,1.262,33.06133333333333,6620.232839965566,420.1228779908794,2422.7851190540523
opt,estrategia,select_flex,250,2,881.5634215690645,0.5893333333333334,1.1646666666666667,20.440333333333335,10868.412888018993,385.9393609660436,2459.405347447686
opt,estrategia,select_flex,250,3,745.4925521021954,0.513,0.9306666666666666,16.584,11328.034438600655,255.65710416848182,2075.5443381951586
opt,estrategia,select_flex,400,1,843.3324456476304,0.3973333333333333,0.6703333333333333,17.716666666666665,11995.471851544848,0.0,2470.886355687119
opt,estrategia,select_flex,400,2,908.1685068581356,0.3863333333333333,0.672,11.726,19517.180942201107,0.0,2747.0224696415175
opt,estrategia,select_flex,400,3,788.2291946959292,0.3463333333333333,0.5746666666666667,9.567333333333334,20761.663688597397,0.0,2476.797641487069
opt,estrategia,select_flex,600,1,1078.0343130468632,0.257,0.5566666666666666,14.345,18937.932860774454,0.0,2876.6822678717135
opt,estrategia,select_flex,600,2,1021.3797645207171,0.25433333333333336,0.525,9.374333333333333,27456.640542533234,0.0,2841.2862781415092
opt,estrategia,select_flex,600,3,918.4153601007521,0.22566666666666665,0.4656666666666667,7.828,29565.747412543373,0.0,2250.0
opt,estrategia,select_flex,900,1,1346.1133532850083,0.18333333333333332,0.6156666666666667,14.681666666666667,23105.044728878787,0.0,2250.0
opt,estrategia,select_flex,900,2,1275.0742286068307,0.177,0.583,9.624333333333333,33386.07407705345,0.0,2250.0
opt,estrategia,select_flex,900,3,1055.8829427710427,0.16766666666666666,0.48433333333333334,7.531,35331.6294752759,0.0,2250.0
opt,estrategia,growth,75,1,0.45,0.0003333333333333333,0.0003333333333333333,317.16633333333334,0.3575411009365223,0.0,0.0
opt,estrategia,growth,75,2,0.0,0.0,0.0,214.12466666666666,0.0,0.0,0.0
opt,estrategia,growth,75,3,0.0,0.0,0.0,179.56233333333333,0.0,0.0,0.0
opt,estrategia,growth,100,1,59.85,0.034,0.044333333333333336,245.37066666666666,61.467005020975066,0.0,0.0
opt,estrategia,growth,100,2,61.2,0.036333333333333336,0.045,157.59066666666666,97.86366366874519,0.0,0.0
opt,estrategia,growth,100,3,65.7,0.03866666666666667,0.048666666666666664,130.194,127.16715055993366,0.0,0.0
opt,estrategia,growth,150,1,931.05,0.23733333333333334,0.606,183.00366666666667,1282.0759511193764,0.0,4050.0
opt,estrategia,growth,150,2,575.55,0.18033333333333335,0.37566666666666665,103.56366666666666,1400.4776449913259,0.0,1350.0
opt,estrategia,growth,150,3,347.4,0.12366666666666666,0.232,67.901,1289.3005994020707,0.0,1350.0
opt,estrategia,growth,250,1,972.0,0.21966666666666668,0.5786666666666667,74.24533333333333,3299.1164427842828,0.0,2700.0
opt,estrategia,growth,250,2,908.1,0.221,0.535,64.60433333333333,3542.195827937239,0.0,2700.0
opt,estrategia,growth,250,3,522.0,0.17433333333333334,0.3343333333333333,40.863,3219.146905513545,0.0,1350.0
opt,estrategia,growth,400,1,977.85,0.22733333333333333,0.558,45.435,5423.532518983162,0.0,2700.0
opt,estrategia,growth,400,2,748.35,0.18133333333333335,0.43433333333333335,48.617,3878.9764897052473,0.0,1350.0
opt,estrategia,growth,400,3,432.9,0.15733333333333333,0.28,28.311666666666667,3853.210101842585,0.0,1350.0
opt,estrategia,growth,600,1,1210.95,0.20033333333333334,0.6293333333333333,48.47,6295.8407262224055,0.0,1350.0
opt,estrategia,growth,600,2,768.6,0.155,0.42033333333333334,44.120666666666665,4389.94273280851,0.0,1350.0
opt,estrategia,growth,600,3,441.45,0.138,0.2703333333333333,27.56,4036.480406386067,0.0,1350.0
opt,estrategia,growth,900,1,1148.85,0.14933333333333335,0.569,46.095333333333336,6280.683510984481,0.0,1350.0
opt,estrategia,growth,900,2,688.95,0.10966666666666666,0.36033333333333334,39.684333333333335,4374.910334052901,0.0,1350.0
opt,estrategia,growth,900,3,372.6,0.10133333333333333,0.21933333333333332,24.173333333333332,3884.2471042471047,0.0,1350.0
