fase,plan,Robj,Rusd,K,G,cons_p,cons_dias,opt_p,opt_dias,colchon,cons_ev,cons_pcobra,cons_nret,opt_ev,opt_pcobra,opt_nret
examen,select,2.0,600,3,1000000000.0,0.18933333333333333,9.0,0.18233333333333332,8.0,,,,,,,
examen,select,2.0,600,5,300.0,0.24966666666666668,7.0,0.2723333333333333,6.0,,,,,,,
examen,select,2.0,600,5,600.0,0.236,7.0,0.24766666666666667,5.0,,,,,,,
examen,select,2.0,600,5,1200.0,0.185,9.0,0.18533333333333332,7.0,,,,,,,
examen,select,2.0,600,5,1000000000.0,0.185,9.0,0.18533333333333332,7.0,,,,,,,
examen,select,2.0,900,1,300.0,0.20533333333333334,7.0,0.21533333333333332,6.0,,,,,,,
examen,select,2.0,900,1,600.0,0.20533333333333334,7.0,0.21533333333333332,6.0,,,,,,,
examen,select,2.0,900,1,1200.0,0.20533333333333334,7.0,0.21533333333333332,6.0,,,,,,,
examen,select,2.0,900,1,1000000000.0,0.20533333333333334,7.0,0.21533333333333332,6.0,,,,,,,
examen,select,2.0,900,2,300.0,0.20066666666666666,6.0,0.228,4.0,,,,,,,
examen,select,2.0,900,2,600.0,0.201,6.0,0.224,4.0,,,,,,,
examen,select,2.0,900,2,1200.0,0.19666666666666666,5.5,0.21833333333333332,4.0,,,,,,,
examen,select,2.0,900,2,1000000000.0,0.19666666666666666,5.5,0.21833333333333332,4.0,,,,,,,
examen,select,2.0,900,3,300.0,0.197,5.0,0.22733333333333333,4.0,,,,,,,
examen,select,2.0,900,3,600.0,0.19733333333333333,5.0,0.22133333333333333,4.0,,,,,,,
examen,select,2.0,900,3,1200.0,0.18466666666666667,5.0,0.19866666666666666,5.0,,,,,,,
examen,select,2.0,900,3,1000000000.0,0.18466666666666667,5.0,0.19866666666666666,5.0,,,,,,,
examen,select,2.0,900,5,300.0,0.19633333333333333,5.0,0.22966666666666666,4.0,,,,,,,
examen,select,2.0,900,5,600.0,0.19633333333333333,5.0,0.22433333333333333,4.0,,,,,,,
examen,select,2.0,900,5,1200.0,0.18933333333333333,5.0,0.204,5.0,,,,,,,
examen,select,2.0,900,5,1000000000.0,0.18933333333333333,5.0,0.204,5.0,,,,,,,
examen,select,2.0,1250,1,300.0,0.16433333333333333,6.0,0.17166666666666666,6.0,,,,,,,
examen,select,2.0,1250,1,600.0,0.16433333333333333,6.0,0.17166666666666666,6.0,,,,,,,
examen,select,2.0,1250,1,1200.0,0.16433333333333333,6.0,0.17166666666666666,6.0,,,,,,,
examen,select,2.0,1250,1,1000000000.0,0.16433333333333333,6.0,0.17166666666666666,6.0,,,,,,,
examen,select,2.0,1250,2,300.0,0.15666666666666668,5.0,0.18233333333333332,5.0,,,,,,,
examen,select,2.0,1250,2,600.0,0.15433333333333332,5.0,0.18266666666666667,5.0,,,,,,,
examen,select,2.0,1250,2,1200.0,0.155,5.0,0.181,5.0,,,,,,,
examen,select,2.0,1250,2,1000000000.0,0.155,5.0,0.181,5.0,,,,,,,
examen,select,2.0,1250,3,300.0,0.158,5.0,0.17566666666666667,4.0,,,,,,,
examen,select,2.0,1250,3,600.0,0.15666666666666668,5.0,0.175,4.0,,,,,,,
examen,select,2.0,1250,3,1200.0,0.15466666666666667,5.0,0.16533333333333333,4.0,,,,,,,
examen,select,2.0,1250,3,1000000000.0,0.15466666666666667,5.0,0.16533333333333333,4.0,,,,,,,
examen,select,2.0,1250,5,300.0,0.15466666666666667,5.0,0.17766666666666667,4.0,,,,,,,
examen,select,2.0,1250,5,600.0,0.15466666666666667,5.0,0.17866666666666667,4.0,,,,,,,
examen,select,2.0,1250,5,1200.0,0.153,5.0,0.17066666666666666,4.0,,,,,,,
examen,select,2.0,1250,5,1000000000.0,0.153,5.0,0.17066666666666666,4.0,,,,,,,
fondeada,growth,2.0,100,1,300.0,,250.0,,250.0,-1.0,25.65,0.019,0.019,9.45,0.007,0.007
fondeada,growth,2.0,100,1,300.0,,250.0,,250.0,2500.0,2.025,0.0015,0.0015,2.025,0.0015,0.0015
fondeada,growth,2.0,100,1,600.0,,250.0,,250.0,-1.0,25.65,0.019,0.019,9.45,0.007,0.007
fondeada,growth,2.0,100,1,600.0,,250.0,,250.0,2500.0,2.025,0.0015,0.0015,2.025,0.0015,0.0015
fondeada,growth,2.0,100,1,1200.0,,250.0,,250.0,-1.0,25.65,0.019,0.019,9.45,0.007,0.007
fondeada,growth,2.0,100,1,1200.0,,250.0,,250.0,2500.0,2.025,0.0015,0.0015,2.025,0.0015,0.0015
fondeada,growth,2.0,100,1,1000000000.0,,250.0,,250.0,-1.0,25.65,0.019,0.019,9.45,0.007,0.007
fondeada,growth,2.0,100,1,1000000000.0,,250.0,,250.0,2500.0,2.025,0.0015,0.0015,2.025,0.0015,0.0015
fondeada,growth,2.0,100,2,300.0,,249.9155,,250.0,-1.0,91.8,0.062,0.068,39.15,0.0265,0.029
fondeada,growth,2.0,100,2,300.0,,249.9155,,250.0,2500.0,16.875,0.0105,0.0125,7.425,0.0055,0.0055
fondeada,growth,2.0,100,2,600.0,,249.9155,,250.0,-1.0,91.8,0.062,0.068,39.15,0.0265,0.029
fondeada,growth,2.0,100,2,600.0,,249.9155,,250.0,2500.0,16.875,0.0105,0.0125,7.425,0.0055,0.0055
fondeada,growth,2.0,100,2,1200.0,,249.9155,,250.0,-1.0,91.8,0.062,0.068,39.15,0.0265,0.029
fondeada,growth,2.0,100,2,1200.0,,249.9155,,250.0,2500.0,16.875,0.0105,0.0125,7.425,0.0055,0.0055
fondeada,growth,2.0,100,2,1000000000.0,,249.9155,,250.0,-1.0,91.8,0.062,0.068,39.15,0.0265,0.029
fondeada,growth,2.0,100,2,1000000000.0,,249.9155,,250.0,2500.0,16.875,0.0105,0.0125,7.425,0.0055,0.0055
fondeada,growth,2.0,100,3,300.0,,250.0,,250.0,-1.0,105.975,0.0705,0.078,35.775,0.0245,0.0265
fondeada,growth,2.0,100,3,300.0,,250.0,,250.0,2500.0,27.0,0.0175,0.02,4.725,0.0035,0.0035
fondeada,growth,2.0,100,3,600.0,,250.0,,250.0,-1.0,110.025,0.0735,0.081,34.425,0.0235,0.0255
fondeada,growth,2.0,100,3,600.0,,250.0,,250.0,2500.0,27.675,0.0175,0.0205,3.375,0.0025,0.0025
fondeada,growth,2.0,100,3,1200.0,,250.0,,250.0,-1.0,110.025,0.0735,0.081,34.425,0.0235,0.0255
fondeada,growth,2.0,100,3,1200.0,,250.0,,250.0,2500.0,27.675,0.0175,0.0205,3.375,0.0025,0.0025
fondeada,growth,2.0,100,3,1000000000.0,,250.0,,250.0,-1.0,110.025,0.0735,0.081,34.425,0.0235,0.0255
fondeada,growth,2.0,100,3,1000000000.0,,250.0,,250.0,2500.0,27.675,0.0175,0.0205,3.375,0.0025,0.0025
fondeada,growth,2.0,100,5,300.0,,249.91,,250.0,-1.0,107.2812784824261,0.0705,0.079,84.375,0.0555,0.0625
fondeada,growth,2.0,100,5,300.0,,249.923,,250.0,2500.0,24.975,0.0165,0.0185,22.95,0.0155,0.017
fondeada,growth,2.0,100,5,600.0,,249.91,,250.0,-1.0,112.68127848242611,0.0735,0.083,78.975,0.051,0.0585
fondeada,growth,2.0,100,5,600.0,,249.923,,250.0,2500.0,28.35,0.0185,0.021,20.925,0.0145,0.0155
fondeada,growth,2.0,100,5,1200.0,,249.91,,250.0,-1.0,112.68127848242611,0.0735,0.083,78.975,0.051,0.0585
fondeada,growth,2.0,100,5,1200.0,,249.923,,250.0,2500.0,28.35,0.0185,0.021,20.925,0.0145,0.0155
fondeada,growth,2.0,100,5,1000000000.0,,249.91,,250.0,-1.0,112.68127848242611,0.0735,0.083,78.975,0.051,0.0585
