escenario,entrada,politica,colchon,p_aprobar,ev_fondeada,p_cobra,n_ret,dias,neto_cupo,neto_cupo_año
opt,solo largos 09:31,lenta (R400 S90 T180 K1),3500,0.3892,834.525,0.172,0.4925,43.204,595.5733042137718,3473.8559545845405
opt,momentum 15 min (09:46),equilibrada (R250 S60 T180 K2),-1,0.4292,1425.5793633153128,0.3505,0.8546666666666667,32.37533333333333,1208.8971638744927,9409.697258088632
opt,momentum 15 min (09:46),equilibrada (R250 S60 T180 K2),0,0.4292,1425.6,0.3505,0.8546666666666667,32.37533333333333,1208.9178005591798,9409.857887926404
opt,momentum 15 min (09:46),equilibrada (R250 S60 T180 K2),1000,0.4292,1432.35,0.3505,0.8571666666666666,32.63883333333333,1215.6678005591798,9386.0060073914
opt,momentum 15 min (09:46),equilibrada (R250 S60 T180 K2),2500,0.4292,1744.65,0.2946666666666667,0.9643333333333334,45.81766666666667,1527.96780055918,8403.91739156468
opt,momentum 15 min (09:46),equilibrada (R250 S60 T180 K2),3500,0.4292,1896.975,0.2585,1.0106666666666666,56.1755,1680.2928005591798,7537.695004778121
opt,momentum 15 min (09:46),rápida (R600 S60 T120 K2),-1,0.4292,1264.725,0.2991666666666667,0.719,18.089666666666666,1048.0428005591798,14599.870224672279
opt,momentum 15 min (09:46),rápida (R600 S60 T120 K2),0,0.4292,1264.725,0.2991666666666667,0.719,18.089666666666666,1048.0428005591798,14599.870224672279
opt,momentum 15 min (09:46),rápida (R600 S60 T120 K2),1000,0.4292,1264.725,0.2991666666666667,0.719,18.089666666666666,1048.0428005591798,14599.870224672279
opt,momentum 15 min (09:46),rápida (R600 S60 T120 K2),2500,0.4292,1370.025,0.247,0.741,21.940833333333334,1153.34280055918,13246.642975012192
opt,momentum 15 min (09:46),rápida (R600 S60 T120 K2),3500,0.4292,1417.275,0.2065,0.7401666666666666,26.261333333333333,1200.59280055918,11520.716861580271
opt,momentum 15 min (09:46),lenta (R400 S90 T180 K1),-1,0.4292,1534.9224958990799,0.35533333333333333,0.909,38.196666666666665,1318.2402964582598,8697.00378848455
opt,momentum 15 min (09:46),lenta (R400 S90 T180 K1),0,0.4292,1534.95,0.35533333333333333,0.909,38.196666666666665,1318.26780055918,8697.185244984206
opt,momentum 15 min (09:46),lenta (R400 S90 T180 K1),1000,0.4292,1539.9,0.35533333333333333,0.9108333333333334,38.396,1323.21780055918,8684.521453821058
opt,momentum 15 min (09:46),lenta (R400 S90 T180 K1),2500,0.4292,1907.325,0.30483333333333335,1.0463333333333333,53.97233333333333,1690.64280055918,7893.710711183756
opt,momentum 15 min (09:46),lenta (R400 S90 T180 K1),3500,0.4292,1966.725,0.27266666666666667,1.0586666666666666,64.17383333333333,1750.0428005591798,6872.127825841477
opt,fade 15 min (09:46),equilibrada (R250 S60 T180 K2),-1,0.3544,274.95,0.143,0.19783333333333333,17.875833333333333,12.534650112866814,176.704032172436
opt,fade 15 min (09:46),equilibrada (R250 S60 T180 K2),0,0.3544,274.95,0.143,0.19783333333333333,17.875833333333333,12.534650112866814,176.704032172436
opt,fade 15 min (09:46),equilibrada (R250 S60 T180 K2),1000,0.3544,274.95,0.143,0.19783333333333333,17.877,12.534650112866814,176.69250033240684
opt,fade 15 min (09:46),equilibrada (R250 S60 T180 K2),2500,0.3544,207.675,0.092,0.14566666666666667,19.998666666666665,-54.74034988713316,-689.774393537447
opt,fade 15 min (09:46),equilibrada (R250 S60 T180 K2),3500,0.3544,148.05,0.06016666666666667,0.1025,21.574666666666666,-114.36534988713316,-1335.8291285253179
opt,fade 15 min (09:46),rápida (R600 S60 T120 K2),-1,0.3544,292.95,0.15333333333333332,0.20983333333333334,8.370833333333334,30.534650112866814,919.2312786591265
opt,fade 15 min (09:46),rápida (R600 S60 T120 K2),0,0.3544,292.95,0.15333333333333332,0.20983333333333334,8.370833333333334,30.534650112866814,919.2312786591265
opt,fade 15 min (09:46),rápida (R600 S60 T120 K2),1000,0.3544,292.95,0.15333333333333332,0.20983333333333334,8.370833333333334,30.534650112866814,919.2312786591265
opt,fade 15 min (09:46),rápida (R600 S60 T120 K2),2500,0.3544,228.375,0.1095,0.1615,9.277,-34.040349887133175,-924.670493861977
opt,fade 15 min (09:46),rápida (R600 S60 T120 K2),3500,0.3544,172.575,0.078,0.12083333333333333,9.713,-89.84034988713319,-2330.872868481166
opt,fade 15 min (09:46),lenta (R400 S90 T180 K1),-1,0.3544,326.25,0.1575,0.23133333333333334,21.1,63.834650112866825,762.3853947129118
opt,fade 15 min (09:46),lenta (R400 S90 T180 K1),0,0.3544,326.25,0.1575,0.23133333333333334,21.1,63.834650112866825,762.3853947129118
opt,fade 15 min (09:46),lenta (R400 S90 T180 K1),1000,0.3544,326.25,0.1575,0.23133333333333334,21.101666666666667,63.834650112866825,762.3251794538713
opt,fade 15 min (09:46),lenta (R400 S90 T180 K1),2500,0.3544,244.125,0.10116666666666667,0.17016666666666666,24.225833333333334,-18.290349887133175,-190.25839516594104
opt,fade 15 min (09:46),lenta (R400 S90 T180 K1),3500,0.3544,185.4,0.07283333333333333,0.12816666666666668,26.3475,-77.01534988713317,-736.6113738137417
opt,momentum 30 min (10:01),equilibrada (R250 S60 T180 K2),-1,0.38115,790.6395103221671,0.2615,0.5098333333333334,26.2185,546.6410845055594,5254.059282392242
opt,momentum 30 min (10:01),equilibrada (R250 S60 T180 K2),0,0.38115,790.65,0.2615,0.5098333333333334,26.2185,546.6515741833923,5254.160104285709
opt,momentum 30 min (10:01),equilibrada (R250 S60 T180 K2),1000,0.38115,791.55,0.2615,0.5101666666666667,26.289666666666665,547.5515741833923,5248.563948860066
opt,momentum 30 min (10:01),equilibrada (R250 S60 T180 K2),2500,0.38115,806.175,0.2025,0.49233333333333335,34.033166666666666,562.1765741833923,4162.659857126083
opt,momentum 30 min (10:01),equilibrada (R250 S60 T180 K2),3500,0.38115,782.55,0.16816666666666666,0.4675,40.025333333333336,538.5515741833923,3390.727456632837
opt,momentum 30 min (10:01),rápida (R600 S60 T120 K2),-1,0.38115,777.15,0.25233333333333335,0.485,13.927166666666666,533.1515741833923,9646.915263517218
opt,momentum 30 min (10:01),rápida (R600 S60 T120 K2),0,0.38115,777.15,0.25233333333333335,0.485,13.927166666666666,533.1515741833923,9646.915263517218
opt,momentum 30 min (10:01),rápida (R600 S60 T120 K2),1000,0.38115,777.15,0.25233333333333335,0.485,13.927166666666666,533.1515741833923,9646.915263517218
opt,momentum 30 min (10:01),rápida (R600 S60 T120 K2),2500,0.38115,751.5,0.1995,0.4515,16.241833333333332,507.50157418339234,7874.135515954576
opt,momentum 30 min (10:01),rápida (R600 S60 T120 K2),3500,0.38115,721.575,0.161,0.4205,18.827166666666667,477.5765741833924,6392.321203980854
opt,momentum 30 min (10:01),lenta (R400 S90 T180 K1),-1,0.38115,912.8176929825038,0.2728333333333333,0.5763333333333334,32.6005,668.8192671658961,5169.93467357267
opt,momentum 30 min (10:01),lenta (R400 S90 T180 K1),0,0.38115,912.825,0.2728333333333333,0.5763333333333334,32.6005,668.8265741833924,5169.9911563998985
opt,momentum 30 min (10:01),lenta (R400 S90 T180 K1),1000,0.38115,910.125,0.2728333333333333,0.5753333333333334,32.6755,666.1265741833923,5137.301546853602
opt,momentum 30 min (10:01),lenta (R400 S90 T180 K1),2500,0.38115,929.475,0.21816666666666668,0.561,41.3295,685.4765741833924,4179.583510427537
opt,momentum 30 min (10:01),lenta (R400 S90 T180 K1),3500,0.38115,888.525,0.184,0.5266666666666666,47.714666666666666,644.5265741833923,3403.9993997837464
opt,fade 30 min (10:01),equilibrada (R250 S60 T180 K2),-1,0.3607,330.525,0.16066666666666668,0.23383333333333334,19.525,72.69300665372884,938.2144776819293
opt,fade 30 min (10:01),equilibrada (R250 S60 T180 K2),0,0.3607,330.525,0.16066666666666668,0.23383333333333334,19.525,72.69300665372884,938.2144776819293
opt,fade 30 min (10:01),equilibrada (R250 S60 T180 K2),1000,0.3607,330.075,0.16066666666666668,0.23366666666666666,19.5275,72.24300665372886,932.2871681853628
opt,fade 30 min (10:01),equilibrada (R250 S60 T180 K2),2500,0.3607,256.05,0.10416666666666667,0.17466666666666666,22.436166666666665,-1.781993346271122,-20.015109084008234
opt,fade 30 min (10:01),equilibrada (R250 S60 T180 K2),3500,0.3607,198.675,0.0745,0.134,24.45,-59.15699334627112,-609.716250440095
opt,fade 30 min (10:01),rápida (R600 S60 T120 K2),-1,0.3607,386.1,0.17766666666666667,0.268,9.974666666666666,128.2680066537289,3240.563194433199
