tipo,size,R,S,rr,K,G,L,reserva,ev,p_cobra,n_ret,quiebra,dias,p10,p50,p90,ev_val,p_cobra_val,n_ret_val,dias_val,p10_val,p50_val,p90_val
select_daily,50,150.0,60,3,5,600.0,225.0,0,1028.8889896851506,0.38666666666666666,2.334,0.96,86.60333333333334,0.0,0.0,3613.7511685098784,940.0674793701705,0.380625,2.132,86.529875,0.0,0.0,3365.638568813821
growth,50,300.0,60,3,2,375.0,450.0,0,1023.3,0.294,0.634,0.984,40.276,0.0,0.0,2700.0,927.947561872242,0.29125,0.59325,37.895125,0.0,0.0,2700.0
growth,50,300.0,60,3,2,600.0,450.0,0,1023.3,0.294,0.634,0.984,40.276,0.0,0.0,2700.0,927.947561872242,0.29125,0.59325,37.895125,0.0,0.0,2700.0
growth,50,300.0,60,3,2,375.0,450.0,500,1022.5407192492432,0.294,0.634,0.984,40.28333333333333,0.0,0.0,2700.0,928.2053045966765,0.29125,0.5935,37.902625,0.0,0.0,2700.0
growth,50,300.0,60,3,2,600.0,450.0,500,1022.5407192492432,0.294,0.634,0.984,40.28333333333333,0.0,0.0,2700.0,928.2053045966765,0.29125,0.5935,37.902625,0.0,0.0,2700.0
growth,50,300.0,60,3,2,150.0,450.0,0,1014.3,0.294,0.63,0.9826666666666667,40.408,0.0,0.0,2700.0,922.210061872242,0.289625,0.58975,38.008875,0.0,0.0,2700.0
growth,50,300.0,60,3,2,187.5,450.0,0,1014.3,0.294,0.63,0.9826666666666667,40.408,0.0,0.0,2700.0,922.210061872242,0.289625,0.58975,38.008875,0.0,0.0,2700.0
growth,50,300.0,60,3,2,262.5,450.0,0,1014.3,0.294,0.63,0.9826666666666667,40.408,0.0,0.0,2700.0,922.210061872242,0.289625,0.58975,38.008875,0.0,0.0,2700.0
growth,50,300.0,60,3,2,262.5,450.0,500,1013.5407192492432,0.294,0.63,0.9826666666666667,40.41466666666667,0.0,0.0,2700.0,922.1790168484671,0.289625,0.589875,38.01325,0.0,0.0,2700.0
growth,50,300.0,60,3,2,187.5,450.0,500,1013.5407192492432,0.294,0.63,0.9826666666666667,40.41466666666667,0.0,0.0,2700.0,922.1790168484671,0.289625,0.589875,38.01325,0.0,0.0,2700.0
